label,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
"['harga', 'bbm', 'otomatis', 'harga', 'yg', 'dampak', 'ah']","[0.2, 0.2, 0.4, 0.2]","[6.0106352940962555, 3.167665775094675, 3.5977021439333448, 2.666596326274049]","[1.2021270588192512, 0.633533155018935, 1.439080857573338, 0.5333192652548098]"
"['harga', 'bbm', 'percaya', 'publik', 'jokowi', 'rendah', 'amat', 'masyarakat', 'susah', 'hajaaalll', 'tagaaalllnya', '', '', 'makzulinlurahngibul', 'makzulinlurahngibul']","[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[6.19295685089021, 3.167665775094675, 3.5977021439333448, 1.8362480242006185, 4.088822696620003, 5.0943445622221, 5.237445405862774, 6.19295685089021, 6.19295685089021, 5.722953221644475]","[0.5629960773536555, 0.28796961591769776, 0.3270638312666677, 0.16693163856369259, 0.7434223084763641, 0.4631222329292819, 0.4761314005329794, 0.5629960773536555, 0.5629960773536555, 0.5202684746949523]"
"['harga', 'bbm', 'percaya', 'publik', 'jokowi', 'rendah', 'amat', 'masyarakat', 'susah', 'makzulinlurahngibul', 'makzulinlurahngibul']","[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[6.19295685089021, 3.167665775094675, 3.5977021439333448, 1.8362480242006185, 4.088822696620003, 5.0943445622221, 5.237445405862774, 6.19295685089021, 6.19295685089021, 5.722953221644475]","[0.5629960773536555, 0.28796961591769776, 0.3270638312666677, 0.16693163856369259, 0.7434223084763641, 0.4631222329292819, 0.4761314005329794, 0.5629960773536555, 0.5629960773536555, 0.5202684746949523]"
"['harga', 'bbm', 'roket', 'mari', 'dukung', 'jokowi', 'jabat', 'periode', 'hehehehe', 'makzulinlurahngibul', 'makzulinlurahngibul', '', '', '']","[0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.1, 0.1, 0.1]","[3.167665775094675, 4.336658860524585, 3.5977021439333448, 4.80666248977032, 1.8362480242006185, 4.088822696620003, 6.41610040220442, 4.624340932976365, 5.8564846142689975]","[0.3167665775094675, 0.4336658860524585, 0.3597702143933345, 0.480666248977032, 0.18362480242006185, 0.8177645393240006, 0.6416100402204421, 0.4624340932976365, 0.5856484614268997]"
"['harga', 'bbm', 'roket', 'mari', 'dukung', 'jokowi', 'jabat', 'periode', 'makzulinlurahngibul', 'makzulinlurahngibul']","[0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.1, 0.1, 0.1]","[3.167665775094675, 4.336658860524585, 3.5977021439333448, 4.80666248977032, 1.8362480242006185, 4.088822696620003, 6.41610040220442, 4.624340932976365, 5.8564846142689975]","[0.3167665775094675, 0.4336658860524585, 0.3597702143933345, 0.480666248977032, 0.18362480242006185, 0.8177645393240006, 0.6416100402204421, 0.4624340932976365, 0.5856484614268997]"
"['harga', 'bbm', 'roket', 'mari', 'dukung', 'jokowi', 'jabat', 'periode', 'skalian', 'umur', 'hidup', '', '', 'pluto', '', 'bawa', 'bani', 'bipang', 'ma', 'cebong', 'loe', '', '', '', 'makzulinlurahngibul', 'makzulinlurahngibul', '']","[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.125, 0.0625, 0.0625, 0.0625, 0.0625]","[6.0106352940962555, 3.167665775094675, 7.1092475827643655, 5.499809670330265, 4.336658860524585, 3.5977021439333448, 4.7578723256008875, 4.80666248977032, 1.8362480242006185, 6.0106352940962555, 4.088822696620003, 6.41610040220442, 4.624340932976365, 5.8564846142689975, 5.8564846142689975]","[0.37566470588101597, 0.1979791109434172, 0.44432797392277285, 0.34373810439564156, 0.27104117878278655, 0.22485638399583405, 0.29736702035005547, 0.300416405610645, 0.11476550151253866, 0.37566470588101597, 0.5111028370775004, 0.40100627513777626, 0.2890213083110228, 0.36603028839181234, 0.36603028839181234]"
"['harga', 'harga', 'cabe', 'capai', 'rb', 'kg', 'bbm', 'komoditi', 'stabil', 'sering', 'cek', 'pasar', 'swalayan', 'besar beras', 'stabil', 'bbm', 'keluh', 'beli', 'rokok', 'hari', 'sebubgkus', 'rb', 'lucu']","[0.11764705882352941, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.058823529411764705, 0.11764705882352941]","[3.167665775094675, 5.605170185988092, 7.1092475827643655, 5.8564846142689975, 6.703782474656201, 3.5977021439333448, 6.703782474656201, 6.703782474656201, 6.41610040220442, 6.19295685089021, 5.40449949052594, 6.703782474656201, 6.41610040220442]","[0.3726665617758441, 0.32971589329341716, 0.4181910342802568, 0.3444990949569999, 0.39434014556801184, 0.42325907575686406, 0.39434014556801184, 0.39434014556801184, 0.37741767071790705, 0.36429157946413004, 0.63582346947364, 0.39434014556801184, 0.7548353414358141]"
"['harga', 'minyak', 'mentah', 'longsor', 'harga', 'barel', '', 'sih', 'bisik', 'naikin', 'bbm', '']","[0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125]","[3.167665775094675, 6.703782474656201, 3.5977021439333448, 6.703782474656201, 6.0106352940962555, 6.0106352940962555, 5.31748811353631]","[0.3959582218868344, 0.8379728093320251, 0.8994255359833362, 0.8379728093320251, 0.7513294117620319, 0.7513294117620319, 0.6646860141920388]"
"['harga', 'nya', 'masukin', 'suka', 'manipulasi', 'hukum', 'rezim', 'suka', 'manipulasi', 'data', 'buzzer', 'komisaris', 'laku', 'mesum', 'jdi', 'menteri', 'hobby', 'bokep', 'gubernur', 'nista', 'agama', 'komisaris', 'bumn', 'koruptor', 'bebas', 'dll']","[0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333]","[5.722953221644475, 5.8564846142689975, 7.1092475827643655, 6.19295685089021, 6.41610040220442, 5.605170185988092, 5.605170185988092, 6.703782474656201, 3.5977021439333448, 4.544298225302828, 7.1092475827643655, 7.1092475827643655, 4.58351893845611, 4.80666248977032, 7.802394763324311, 7.1092475827643655, 4.435098933337837, 5.8564846142689975, 4.064725145040942, 4.666900547395161, 5.40449949052594]","[0.23845638423518645, 0.24402019226120822, 0.29621864928184855, 0.25803986878709206, 0.26733751675851747, 0.23354875774950382, 0.23354875774950382, 0.2793242697773417, 0.14990425599722268, 0.18934575938761783, 0.29621864928184855, 0.5924372985636971, 0.19097995576900456, 0.20027760374042997, 0.6501995636103592, 0.29621864928184855, 0.18479578888907655, 0.24402019226120822, 0.16936354771003925, 0.19445418947479837, 0.45037495754382834]"
"['haru', 'test', 'progresif', 'nih']","[0.5, 0.5]","[5.237445405862774, 6.703782474656201]","[2.618722702931387, 3.3518912373281005]"
"['hater', 'hates', 'jokowi', 'jelas', 'bangun', 'nkri', 'aja', 'tuduh', 'pki', 'asu', 'kabeh', 'kadrun', 'kok', 'sok', 'bawa', 'belanda']","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[3.8134107167600364, 7.1092475827643655, 4.969181419268095, 6.0106352940962555, 1.8362480242006185, 5.31748811353631, 5.722953221644475, 6.19295685089021, 6.19295685089021, 6.703782474656201]","[0.3813410716760037, 0.7109247582764366, 0.4969181419268095, 0.6010635294096256, 0.18362480242006185, 0.5317488113536311, 0.5722953221644475, 0.6192956850890211, 0.6192956850890211, 0.6703782474656201]"
"['hawatir', 'mur', 'allahsebab', 'perintah', 'muslim', 'dikatagorikan', 'islam', 'taat', 'perintah']","[0.25, 0.25, 0.5]","[6.19295685089021, 7.1092475827643655, 3.952247161614252]","[1.5482392127225526, 1.7773118956910914, 1.976123580807126]"
"['hebat', 'perintah', 'hasil', 'revolusi', 'mental', 'apbn', 'megap', 'tinggal', 'kurang', 'subsidi', 'cerdas']","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[6.19295685089021, 5.163337433709052, 5.40449949052594, 6.0106352940962555, 6.703782474656201, 3.952247161614252, 6.41610040220442, 5.029806041084529, 5.722953221644475]","[0.6881063167655789, 0.5737041593010057, 0.6004999433917712, 0.667848366010695, 0.7448647194062445, 0.43913857351269464, 0.71290004468938, 0.558867337898281, 0.6358836912938305]"
"['hebat', 'presiden', 'jokowi', '']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[5.40449949052594, 1.8362480242006185, 3.313758393592171]","[1.8014998301753133, 0.6120826747335395, 1.1045861311973901]"
"['hebat', 'ya', 'jaman', 'jokowi', '', '', '', 'presiden', 'baik', 'takut', 'koruptor', 'anjirrr', 'hayang', 'utah', '', '', '']","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[5.499809670330265, 5.40449949052594, 5.40449949052594, 1.8362480242006185, 4.58351893845611, 3.313758393592171, 5.722953221644475, 3.70805020110221]","[0.6874762087912831, 0.6755624363157425, 0.6755624363157425, 0.2295310030250773, 0.5729398673070137, 0.41421979919902135, 0.7153691527055593, 0.46350627513777626]"
"['hebat', 'ya', 'koruptor', 'diskon', 'tahan', '', '']","[0.25, 0.25, 0.25, 0.25]","[5.40449949052594, 4.58351893845611, 6.41610040220442, 3.70805020110221]","[1.351124872631485, 1.1458797346140275, 1.604025100551105, 0.9270125502755525]"
"['henti', 'presiden', 'jokowi', 'incar', 'ketua', 'otoritas', 'ikn', 'prediksi']","[0.25, 0.25, 0.25, 0.25]","[5.605170185988092, 1.8362480242006185, 7.1092475827643655, 3.313758393592171]","[1.401292546497023, 0.4590620060501546, 1.7773118956910914, 0.8284395983980427]"
"['hi', 'om', 'ujang', 'yg', 'sebentar', 'mo', 'kawin', 'sbnrnya', 'kau', 'kagak', 'suka', 'ri', 'joko', 'widodo', 'kagak', 'jalan', 'dgn', 'politik', 'ya', 'gpp', 'kalo', 'lg', 'kerja', 'jd', 'host', 'kau', 'kudu', 'independent', 'cool', 'profesional', 'dll', 'kalo', 'kau', 'mo', 'leluasa', 'bikin', 'aja', 'vlog', 'podcast', 'dll']","[0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.07142857142857142, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.07142857142857142, 0.07142857142857142, 0.10714285714285714, 0.03571428571428571, 0.03571428571428571, 0.07142857142857142, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571]","[3.8134107167600364, 4.969181419268095, 4.80666248977032, 5.605170185988092, 6.703782474656201, 5.31748811353631, 4.969181419268095, 6.0106352940962555, 5.8564846142689975, 4.58351893845611, 6.19295685089021, 4.711352309965995, 5.499809670330265, 7.1092475827643655, 6.19295685089021, 4.912023005428146, 5.237445405862774, 5.40449949052594, 7.1092475827643655, 6.703782474656201, 3.70805020110221, 2.666596326274049]","[0.136193239884287, 0.17747076497386052, 0.17166651749179712, 0.4003692989991494, 0.23942080266629287, 0.18991028976915392, 0.17747076497386052, 0.2146655462177234, 0.41832032959064264, 0.3273942098897221, 0.6635310911668082, 0.16826258249878553, 0.19642177394036658, 0.5078033987688833, 0.22117703038893607, 0.17542939305100522, 0.1870516216379562, 0.193017838947355, 0.2539016993844416, 0.23942080266629287, 0.13243036432507893, 0.09523558308121602]"
"['hidup', 'jokowi', '', '']","[0.5, 0.5]","[4.7578723256008875, 1.8362480242006185]","[2.3789361628004437, 0.9181240121003093]"
"['hidup', 'jokowi', 'hidup', 'puan', 'jokowi', 'periode', 'jokowi', 'puan', 'capres', 'cawapres', 'jaya', 'jaya', 'jaya', '', '', '']","[0.18181818181818182, 0.2727272727272727, 0.2727272727272727, 0.09090909090909091, 0.18181818181818182]","[4.7578723256008875, 7.802394763324311, 1.8362480242006185, 4.624340932976365, 6.0106352940962555]","[0.8650676955637977, 2.1279258445429936, 0.5007949156910777, 0.4203946302705786, 1.0928427807447738]"
['hilih'],[],[],[]
"['hitung', 'dgn', 'suku', 'bunga', 'depositobiar']","[0.5, 0.5]","[6.703782474656201, 4.80666248977032]","[3.3518912373281005, 2.40333124488516]"
"['hmi', 'demonstrasi', 'tolak', 'naik', 'bbm', 'dukung', 'jokowi', 'demo', 'tolak', 'demo']","[0.125, 0.25, 0.125, 0.125, 0.125, 0.25]","[3.167665775094675, 4.470190253149108, 4.336658860524585, 1.8362480242006185, 3.7593434954897607, 5.0943445622221]","[0.3959582218868344, 1.117547563287277, 0.5420823575655731, 0.2295310030250773, 0.4699179369362201, 1.273586140555525]"
"['hoekoem', 'buka', 'tutup', 'djaloer', 'poentjak', 'memboeat', 'ellon', 'musk', 'pikir', 'juta', 'kali']","[0.2, 0.2, 0.2, 0.2, 0.2]","[5.722953221644475, 6.703782474656201, 5.0943445622221, 4.969181419268095, 5.722953221644475]","[1.144590644328895, 1.3407564949312403, 1.0188689124444201, 0.993836283853619, 1.144590644328895]"
"['hukum', 'perintah', '']","[0.5, 0.5]","[4.544298225302828, 3.952247161614252]","[2.272149112651414, 1.976123580807126]"
"['idola', 'gerombol', 'kadrun', 'mengsle', '', '', 'orang', 'yg', 'waras', 'rata', 'jijiek', 'drun', 'klo', 'xan', 'mah', 'pantes', 'aja', 'krn', 'kepala', 'pajang', 'doank', 'dalem', 'kopong', 'drun', '', '', '']","[0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]","[3.8134107167600364, 6.703782474656201, 5.8564846142689975, 5.31748811353631, 6.41610040220442, 4.912023005428146, 4.80666248977032, 6.703782474656201, 4.0182051294060495, 6.41610040220442, 6.0106352940962555, 2.666596326274049]","[0.2933392859046182, 1.031351149947108, 0.4504988164822306, 0.4090375471951008, 0.49354618478495543, 0.3778479234944728, 0.3697432684438708, 0.515675574973554, 0.3090927022620038, 0.49354618478495543, 0.4623565610843274, 0.205122794328773]"
"['ifg', 'life', 'duluan', 'migrasi', 'aset', 'jiwasraya', 'kasihan', 'nasabah', 'kasih', 'aset', 'yg', 'clear', 'and', 'clean', 'sehat', 'adab', 'presiden', 'malu', 'hadap', 'dgn', 'investor', 'yg', 'invest', 'indonesia']","[0.07142857142857142, 0.14285714285714285, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285]","[6.41610040220442, 5.722953221644475, 4.80666248977032, 4.85795578415787, 3.7950615780918397, 7.1092475827643655, 5.40449949052594, 6.703782474656201, 5.722953221644475, 3.313758393592171, 6.19295685089021, 2.666596326274049]","[0.45829288587174427, 0.8175647459492106, 0.34333303498359424, 0.3469968417255621, 0.27107582700655997, 0.5078033987688833, 0.38603567789471, 0.47884160533258574, 0.4087823729746053, 0.23669702811372648, 0.44235406077787215, 0.3809423323248641]"
"['ikut', 'doa', 'jokowi', 'amin', 'yra', 'moga', 'azab', 'pedih', 'bohong', '', '', '', '', '', '']","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[6.703782474656201, 5.8564846142689975, 6.41610040220442, 6.703782474656201, 1.8362480242006185, 5.029806041084529]","[1.1172970791093668, 0.9760807690448329, 1.0693500670340699, 1.1172970791093668, 0.30604133736676975, 0.8383010068474215]"
"['indonesia', 'bebas', 'kebebasananya', 'orag', 'hak', 'hidup', 'indonesia', 'ripkebebasanberagama', 'riptoleransiantarumatberagamacilegon', 'uudpasal', 'riwayat', 'presidenri']","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]","[5.8564846142689975, 6.703782474656201, 4.7578723256008875, 3.7950615780918397, 7.1092475827643655]","[0.9760807690448329, 1.1172970791093668, 0.7929787209334812, 1.265020526030613, 1.1848745971273942]"
"['indonesia', 'dibandinginnya', 'amerika', 'eropa', 'gaji', 'indonesia', 'hasil', 'minyak', 'kaya', 'malaysia', 'gak', 'transparan', 'harga', 'pertamina', 'darimana']","[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[6.703782474656201, 6.0106352940962555, 4.064725145040942, 3.5977021439333448, 5.163337433709052, 3.7950615780918397, 5.237445405862774, 6.703782474656201, 6.0106352940962555, 6.41610040220442]","[0.609434770423291, 0.5464213903723869, 0.36952046773099473, 0.3270638312666677, 0.46939431215536837, 0.6900111960166981, 0.4761314005329794, 0.609434770423291, 0.5464213903723869, 0.5832818547458564]"
"['indonesia', 'negeri', 'sakit', 'terimakasih']","[0.25, 0.25, 0.25, 0.25]","[3.7950615780918397, 5.163337433709052, 6.41610040220442, 6.703782474656201]","[0.9487653945229599, 1.290834358427263, 1.604025100551105, 1.6759456186640502]"
"['indonesia', 'negeri', 'syurga', 'koruptor', 'hukum', 'ringan', 'miskin', 'pakai', 'atribut', 'agama', 'sidang', 'soleha', 'ringan', 'hukum', 'hakim', 'nya', 'negeri', 'koruptor']","[0.07142857142857142, 0.07142857142857142, 0.14285714285714285, 0.07142857142857142, 0.14285714285714285, 0.07142857142857142, 0.14285714285714285, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285]","[5.722953221644475, 6.703782474656201, 4.544298225302828, 3.7950615780918397, 4.58351893845611, 6.0106352940962555, 5.163337433709052, 4.064725145040942, 6.41610040220442, 7.802394763324311]","[0.4087823729746053, 0.47884160533258574, 0.6491854607575469, 0.27107582700655997, 0.6547884197794442, 0.4293310924354468, 0.7376196333870074, 0.2903375103600673, 0.45829288587174427, 1.1146278233320444]"
"['indonesia', 'pulih', '', '', 'follow', 'me', '', '', '', '', '', '', '', '', '', '', 'indonesiadamai', 'indonesiaviral', 'indonesiacantik', 'indonesiabangkit', 'indonesiapulihlebihcepat', 'appleevent', 'jokowi']","[0.25, 0.25, 0.25, 0.25]","[3.7950615780918397, 1.8362480242006185, 7.1092475827643655, 7.1092475827643655]","[0.9487653945229599, 0.4590620060501546, 1.7773118956910914, 1.7773118956910914]"
"['indonesia', 'tang', 'mu', 'mundur', 'asu']","[0.25, 0.25, 0.25, 0.25]","[7.1092475827643655, 3.7950615780918397, 6.703782474656201, 5.0943445622221]","[1.7773118956910914, 0.9487653945229599, 1.6759456186640502, 1.273586140555525]"
"['infrastruktur', 'yg', 'sasar', 'bangun', 'jalan', 'lintas', 'provinsi', 'jalan', 'desa', 'posyandu', 'pasar', 'desa', 'bendung', 'embung', 'dll', 'salah', 'sasar', 'tumbuh', 'ekonomi', 'awal', 'mada', 'infrastruktur', 'rakyat', 'lbh', 'suka', 'duit', 'bakar', 't']","[0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616]","[7.1092475827643655, 4.969181419268095, 5.237445405862774, 5.605170185988092, 5.605170185988092, 4.85795578415787, 6.703782474656201, 5.31748811353631, 6.0106352940962555, 6.19295685089021, 7.1092475827643655, 3.47166142303798, 5.029806041084529, 5.499809670330265, 5.40449949052594, 6.19295685089021, 2.666596326274049]","[0.33853559917925546, 0.23662768663181402, 0.4988043243678832, 0.2669128659994329, 0.2669128659994329, 0.2313312278170414, 0.638455473776781, 0.5064274393844105, 0.2862207282902979, 0.2949027071852481, 0.33853559917925546, 0.16531721062085616, 0.23951457338497759, 0.5237913971743109, 0.2573571185964733, 0.2949027071852481, 0.12698077744162137]"
"['inget', 'yg', 'mesum', 'oh', 'negri', 'ku', '']","[0.25, 0.25, 0.25, 0.25]","[6.703782474656201, 5.8564846142689975, 6.0106352940962555, 2.666596326274049]","[1.6759456186640502, 1.4641211535672494, 1.5026588235240639, 0.6666490815685122]"
"['institusi', 'tinggi', 'aja', 'sulit', '', 'bintang', 'takut', 'bintang']","[0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[3.8134107167600364, 7.802394763324311, 5.722953221644475, 5.722953221644475, 6.19295685089021]","[0.6355684527933394, 2.600798254441437, 0.9538255369407458, 0.9538255369407458, 1.0321594751483683]"
"['insya', 'allah', 'anies', 'presiden', 'ri', 'ganti', 'jokowi']","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[5.722953221644475, 5.605170185988092, 5.0943445622221, 1.8362480242006185, 3.313758393592171, 5.237445405862774]","[0.9538255369407458, 0.9341950309980153, 0.8490574270370167, 0.30604133736676975, 0.5522930655986951, 0.8729075676437956]"
"['inti', 'takut', '']","[0.5, 0.5]","[6.703782474656201, 5.722953221644475]","[3.3518912373281005, 2.8614766108222374]"
"['inti', 'turun', 'jokowi', 'maaruf', 'amin']","[0.25, 0.25, 0.25, 0.25]","[6.703782474656201, 6.703782474656201, 1.8362480242006185, 4.336658860524585]","[1.6759456186640502, 1.6759456186640502, 0.4590620060501546, 1.0841647151311462]"
"['iphone', 'pro', 'beli', 'bayar', 'blt', 'jokowi', 'semangat']","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[5.8564846142689975, 5.605170185988092, 5.499809670330265, 1.8362480242006185, 6.0106352940962555, 6.0106352940962555]","[0.9760807690448329, 0.9341950309980153, 0.9166349450550442, 0.30604133736676975, 1.0017725490160425, 1.0017725490160425]"
"['ir h deden', 'hidayat', 'kompassatu', 'desak', 'presiden', 'jokowi', 'perhati', 'khusus', 'bangkit', 'gera', 'intoleransi', 'indonesia', '', 'tabloid', 'lintas', 'pena']","[0.2, 0.2, 0.2, 0.2, 0.2]","[6.703782474656201, 3.7950615780918397, 1.8362480242006185, 6.19295685089021, 3.313758393592171]","[1.3407564949312403, 0.759012315618368, 0.3672496048401237, 1.2385913701780422, 0.6627516787184342]"
['iso'],[],[],[]
"['iya', 'bener']","[0.5, 0.5]","[5.237445405862774, 6.41610040220442]","[2.618722702931387, 3.20805020110221]"
"['iyaa', 'rakyat', 'jepit', 'bolak', 'bawah', 'bahas', 'kubu', 'kubu', 'ga', 'ngerasain', 'jual', 'babi', 'ongkos', '']","[0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125]","[6.703782474656201, 6.19295685089021, 3.973753366835216, 7.1092475827643655, 5.605170185988092, 6.41610040220442, 3.47166142303798]","[0.8379728093320251, 0.7741196063612763, 0.496719170854402, 0.8886559478455457, 0.7006462732485115, 1.604025100551105, 0.4339576778797475]"
"['iyajokowi', 'partai', 'nya', 'emang', 'sayang', 'koruptor']","[0.2, 0.2, 0.2, 0.2, 0.2]","[4.85795578415787, 4.58351893845611, 4.064725145040942, 5.163337433709052, 6.19295685089021]","[0.971591156831574, 0.9167037876912221, 0.8129450290081884, 1.0326674867418104, 1.2385913701780422]"
"['jabat', 'negara', 'ekonom', 'strategi', 'hadap', 'krisis', 'jokowi', 'untukkesejahteraannkri']","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[5.8564846142689975, 4.85795578415787, 4.80666248977032, 1.8362480242006185, 4.912023005428146, 4.138833117194665, 5.31748811353631, 4.164808603597925]","[0.7320605767836247, 0.6072444730197337, 0.60083281122129, 0.2295310030250773, 0.6140028756785183, 0.5173541396493331, 0.6646860141920388, 0.5206010754497407]"
"['jabat', 'takyt', 'sanksi', 'yg', 'firman', 'allah', 'duli', 'tanda', 'zalim', 'sisip', 'ayat', 'allah', 'om', 'hati', 'sdh', 'batu']","[0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[5.722953221644475, 6.703782474656201, 5.722953221644475, 4.80666248977032, 6.19295685089021, 4.912023005428146, 6.703782474656201, 2.666596326274049, 6.703782474656201]","[1.144590644328895, 0.6703782474656201, 0.5722953221644475, 0.480666248977032, 0.6192956850890211, 0.49120230054281466, 0.6703782474656201, 0.2666596326274049, 0.6703782474656201]"
"['jago', 'dg', 'rakyat', 'ya']","[0.25, 0.25, 0.25, 0.25]","[5.40449949052594, 7.1092475827643655, 3.47166142303798, 3.70805020110221]","[1.351124872631485, 1.7773118956910914, 0.867915355759495, 0.9270125502755525]"
"['jaksa', 'agung', 'polisi', 'eksekutif', 'putus', 'hukum', 'hakim', 'kpk', 'pilih', 'dpr', 'hasil', 'seleksi', 'tim', 'intervensi', 'ranah', 'perintah', 'eksekutif', 'dlm', 'hukum', 'hny', 'proses', 'sdh', 'putus', 'sp', 'grasi', 'amnesti', 'uu', 'dpr', 'darurat', 'perppu']","[0.047619047619047616, 0.09523809523809523, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616]","[6.703782474656201, 5.40449949052594, 7.1092475827643655, 6.703782474656201, 5.163337433709052, 6.41610040220442, 4.544298225302828, 6.0106352940962555, 5.029806041084529, 3.952247161614252, 4.7578723256008875, 5.605170185988092, 6.41610040220442, 5.31748811353631, 4.912023005428146, 6.0106352940962555, 6.41610040220442]","[0.3192277368883905, 0.5147142371929466, 0.6770711983585109, 0.3192277368883905, 0.24587321112900246, 0.30552859058116283, 0.4327903071716979, 0.2862207282902979, 0.23951457338497759, 0.18820224579115485, 0.22656534883813748, 0.2669128659994329, 0.30552859058116283, 0.5064274393844105, 0.2339058574013403, 0.2862207282902979, 0.30552859058116283]"
