label,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
"['alhamdulillaahh', '', 'sjk', 'feeling', 'ga', 'bagus', 'pl', 'reshuffle', 'menteri', 'lagiii', '', 'nitip', 'nama', 'ya', 'salah', 'satu', 'yg', 'bikin', 'data', 'wni', 'ambil', 'org', 'yg', 'bikin', '', '', 'tdk', 'kibar', 'bendera', 'pbsi', 'yg', 'maturnuwuunn', '', '', '', '', '']","[0.0625, 0.0625, 0.125, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.1875]","[6.19295685089021, 5.8564846142689975, 4.969181419268095, 5.605170185988092, 3.973753366835216, 4.435098933337837, 5.31748811353631, 5.40449949052594, 5.029806041084529, 6.19295685089021, 4.470190253149108, 3.70805020110221, 2.666596326274049]","[0.38705980318063815, 0.36603028839181234, 0.6211476774085118, 0.35032313662425574, 0.248359585427201, 0.2771936833336148, 0.3323430070960194, 0.33778121815787127, 0.3143628775677831, 0.38705980318063815, 0.2793868908218192, 0.23175313756888813, 0.49998681117638416]"
"['allah', 'menang', 'jokowi', 'dgn', 'curang', 'hikmah', 'rakyat', 'sadar', 'klu', 'presiden', 'dr', 'partai', 'kebo', 'negara', 'hancur', 'rakyat', 'indonesia', 'klu', 'bukti', 'gk', 'percaya', 'skrg', 'rakyat', 'sadar', 'gk', 'tipu', 'partai', 'cilik']","[0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.041666666666666664, 0.041666666666666664, 0.125, 0.08333333333333333, 0.041666666666666664, 0.041666666666666664]","[5.722953221644475, 5.499809670330265, 4.80666248977032, 5.0943445622221, 5.31748811353631, 5.8564846142689975, 3.7950615780918397, 1.8362480242006185, 6.703782474656201, 6.703782474656201, 4.138833117194665, 5.163337433709052, 5.237445405862774, 3.313758393592171, 3.47166142303798, 6.41610040220442, 6.0106352940962555, 6.41610040220442]","[0.23845638423518645, 0.22915873626376104, 0.20027760374042997, 0.21226435675925417, 0.44312400946135916, 0.24402019226120822, 0.15812756575382664, 0.07651033434169244, 0.5586485395546834, 0.2793242697773417, 0.17245137988311102, 0.43027811947575434, 0.2182268919109489, 0.13807326639967377, 0.4339576778797475, 0.5346750335170349, 0.25044313725401063, 0.26733751675851747]"
"['allegri', 'or', 'jokowi', 'come', 'on', 'man', '']","[0.5, 0.5]","[1.8362480242006185, 6.703782474656201]","[0.9181240121003093, 3.3518912373281005]"
"['also', 'taka', 'does', 'a', 'very', 'good', 'job', 'bikin', 'kemeja', 'jokowi', 'jd', 'liat', 'oke']","[0.25, 0.25, 0.25, 0.25]","[4.969181419268095, 4.969181419268095, 1.8362480242006185, 5.40449949052594]","[1.2422953548170237, 1.2422953548170237, 0.4590620060501546, 1.351124872631485]"
"['amplop', 'coklat', 'harga', 'jujur']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[7.1092475827643655, 3.5977021439333448, 6.41610040220442]","[2.3697491942547884, 1.1992340479777814, 2.1387001340681397]"
"['ampun', 'bbm', 'dinaikin', 'susah', 'aja', 'ngisi', 'bensin', 'mahal']","[0.25, 0.25, 0.25, 0.25]","[3.8134107167600364, 3.167665775094675, 6.41610040220442, 5.722953221644475]","[0.9533526791900091, 0.7919164437736688, 1.604025100551105, 1.4307383054111187]"
"['anak', 'lahir', 'jg', 'kalo', 'cmn', 'mengkritiktapi', 'org', 'dewasa', 'kasi', 'solusi']","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[4.912023005428146, 5.605170185988092, 4.58351893845611, 7.1092475827643655, 6.703782474656201, 5.40449949052594, 5.605170185988092]","[0.7017175722040209, 0.8007385979982988, 0.6547884197794442, 1.0156067975377665, 0.9576832106651715, 0.77207135578942, 0.8007385979982988]"
"['anggota', 'teroris', 'iblis', 'yg', 'benci', 'polisi', '', 'viralkan', 'ciduk', 'tenggelam']","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[6.703782474656201, 5.8564846142689975, 6.41610040220442, 5.605170185988092, 7.1092475827643655, 2.666596326274049]","[1.1172970791093668, 0.9760807690448329, 1.0693500670340699, 0.9341950309980153, 1.1848745971273942, 0.4444327210456748]"
"['anies', 'mana', 'emang', 'ruang', 'lingkup', 'anies', 'dki', 'doang', 'kalo', 'jokowi', 'indonesia', 'dasar', 'kadrun', 'dongo', 'otak', 'lobang', 'pantat']","[0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]","[5.605170185988092, 6.703782474656201, 6.703782474656201, 6.19295685089021, 4.85795578415787, 3.7950615780918397, 1.8362480242006185, 5.31748811353631, 4.58351893845611, 5.605170185988092, 5.163337433709052, 6.703782474656201]","[0.8623338747673988, 0.515675574973554, 0.515675574973554, 0.4763812962223239, 0.3736889064736823, 0.2919278136993723, 0.1412498480154322, 0.4090375471951008, 0.35257837988123925, 0.4311669373836994, 0.397179802593004, 0.515675574973554]"
"['anies', 'sdh', 'sikap', 'berani', 'hasil', 'tulus', 'laksana', 'amanah', 'rakyat', 'dukung', 'anies', 'presiden', 'ri', 'ganti', 'jokowi', 'aamiin']","[0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667]","[6.703782474656201, 6.41610040220442, 5.605170185988092, 5.163337433709052, 4.336658860524585, 5.0943445622221, 5.163337433709052, 1.8362480242006185, 6.41610040220442, 3.313758393592171, 3.47166142303798, 5.237445405862774, 4.912023005428146, 6.41610040220442]","[0.44691883164374674, 0.427740026813628, 0.7473560247984122, 0.34422249558060347, 0.28911059070163897, 0.3396229708148067, 0.34422249558060347, 0.1224165349467079, 0.427740026813628, 0.22091722623947804, 0.23144409486919865, 0.3491630270575182, 0.3274682003618764, 0.427740026813628]"
