label,tweet
"['assalamualaikum', 'bapa', 'maaf', 'ganggu', 'waktunyabapa', 'mantan', 'karyawan', 'bumn', 'join', 'operasional', 'asing', '', 'tidak', 'adil', 'dzolimidi', 'kerja', 'kasih', 'upah', 'kasih', 'nasi', 'box']",assalamualaikum bapa maaf ganggu waktunyabapa mantan karyawan bumn join operasional asing tidak adil dzolimidi kerja kasih upah kasih nasi box
"['assalamualaikum', 'wr', 'wb', 'presiden', 'moga', 'allah', 'swt', 'senantiasa', 'limpah', 'umur', 'pimpin', 'berkah', 'indonesia', 'maju', 'lanjut', 'pulih', 'cepat', 'bangkit', 'kuat']",assalamualaikum wr wb presiden moga allah swt senantiasa limpah umur pimpin berkah indonesia maju lanjut pulih cepat bangkit kuat
"['astagfirullah', 'tlg', 'ganti', 'orng', 'cari', 'yg', 'lbh', 'kompeten']",astagfirullah tlg ganti orng cari yg lbh kompeten
"['astaghfirullah', 'sih', 'sdh', 'sgt', 'bp', 'polri', 'trs', 'biar', 'cuit', 'brutal', 'sadis', 'spt', 'tolong', 'tunjuk', 'kewibaan', 'klian', 'sbagai', 'institusi', 'hukum', 'ngr', 'jgn', 'biar', 'bgs', 'brsikap', 'anarkis', 'bar', 'ngeri', 'nian']",astaghfirullah sih sdh sgt bp polri trs biar cuit brutal sadis spt tolong tunjuk kewibaan klian sbagai institusi hukum ngr jgn biar bgs brsikap anarkis bar ngeri nian
"['ayo', 'masyarakat', 'kasih', 'cerah', 'bas', 'data']",ayo masyarakat kasih cerah bas data
"['ayo', 'wisata', 'kab', 'kota', 'tulungagung', 'aplikasi', 'desawisatanusantara', 'tppjatim', 'tppsampang']",ayo wisata kab kota tulungagung aplikasi desawisatanusantara tppjatim tppsampang
"['azwar', 'anas', 'bagus', 'banget', 'mantan', 'bupati', 'ku', 'banyuwangi']",azwar anas bagus banget mantan bupati ku banyuwangi
['babanxnxbdjdkdkdjehdgdheuowowpppqpqiwhegdbdbxnxbxbxhdbdnmcmckckgirhgnsjs'],babanxnxbdjdkdkdjehdgdheuowowpppqpqiwhegdbdbxnxbxbxhdbdnmcmckckgirhgnsjs
"['baca', 'ya', 'ga', 'data', 'percaya', 'jokowi', 'perhati', 'urus', 'harga', 'bilang', 'tarik', '']",baca ya ga data percaya jokowi perhati urus harga bilang tarik
"['banding', 'dgn', 'mandalika', 'yg', 'habis', 't', 'blm', 'bengkak', '', 'skrg', 'mangkrak']",banding dgn mandalika yg habis t blm bengkak skrg mangkrak
"['banding', 'zaman', 'orba', 'rezim', 'jokowi', 'effendi', 'simbol', 'perintah', 'cerdas', 'cerdik']",banding zaman orba rezim jokowi effendi simbol perintah cerdas cerdik
"['bangsa', 'celaka', 'fatal', 'sodor', 'jokowi', 'sbg', 'presiden', 'main', 'elite', 'politik', 'kolaborasi', 'dgn', 'cukong', 'oligarki', 'elite', 'politik', 'emas', 'sodor', 'jokowi', 'pd', 'rakyat', 'dgn', 'milu', 'kemas', 'tai', 'kucing', 'dgn', 'pisang', 'sale']",bangsa celaka fatal sodor jokowi sbg presiden main elite politik kolaborasi dgn cukong oligarki elite politik emas sodor jokowi pd rakyat dgn milu kemas tai kucing dgn pisang sale
"['bangsa', 'indonesia', 'jokowi', 'tetep', 'puja', 'puja', 'bangsa', '', '']",bangsa indonesia jokowi tetep puja puja bangsa
"['bangun', 'kota', 'masuk', 'proyek', 'strategis', 'nasional', 'updatecibinong', 'proyek', 'ikn', 'psn', 'jokowi']",bangun kota masuk proyek strategis nasional updatecibinong proyek ikn psn jokowi
"['bangun', 'tol', 't', 'jual', 't']",bangun tol t jual t
"['bantu', 'gor', 'blk', 'trilunan', 'untuk', 'pesantren', 'apakabar', 'yai', 'yg', 'tdk', 'fungsi', 'tuh', 'rsnu', 'dpt', 'bantu', 'kafir', 'urus', 'bantu', 'perintah', 'yg', 'jorjoran', 'nu', 'jual', 'anti', 'politik', 'identitas']",bantu gor blk trilunan untuk pesantren apakabar yai yg tdk fungsi tuh rsnu dpt bantu kafir urus bantu perintah yg jorjoran nu jual anti politik identitas
"['bantu', 'up']",bantu up
"['bapack', 'jokowi', 'rakyat', 'liat', 'baju', 'sepatu', 'lokal', 'ga', 'mahal', 'ko', 'si', 'pilih', 'tri', 'hedon', 'gin', 'si', 'kapasitas', 'anggap', 'cakap', 'bidang', 'urus', 'moral', 'samping', 'tp', 'cocok', 'ga', 'si', 'akhlak', '', '']",bapack jokowi rakyat liat baju sepatu lokal ga mahal ko si pilih tri hedon gin si kapasitas anggap cakap bidang urus moral samping tp cocok ga si akhlak
"['bbm', 'blm', 'smpe', 'ky', 'sby', 'bawah', 'negara', 'wajar', 'koruptor', '', 'iyaa', 'yg', 'ketangkep', 'jam', 'jokowi', 'dlu', 'koruptor', 'tp', 'gak', 'yg', 'ktangkep', 'jd', 'kliatan', 'sdikit', 'marga', 'otak', 'beda', 'elu', 'baharrijik', 'vs', 'nabi']",bbm blm smpe ky sby bawah negara wajar koruptor iyaa yg ketangkep jam jokowi dlu koruptor tp gak yg ktangkep jd kliatan sdikit marga otak beda elu baharrijik vs nabi
"['bbm', 'presiden', 'jokowi', 'tepat', 'janji', 'fraksi', 'pks', 'walk', 'out', 'makzulinlurahngibul', 'makzulinlurahngibul']",bbm presiden jokowi tepat janji fraksi pks walk out makzulinlurahngibul makzulinlurahngibul
"['bbm', 'terbelitransportasi', 'solusi', '', 'mobil', 'listrik']",bbm terbelitransportasi solusi mobil listrik
