term,tf_idf
abal,0.949827329377054
abang,1.2562188271627113
abcdxyz,0.4684976716449655
abis,5.861706517182994
acara,0.8493897545827871
ad,3.6126882737755106
ada,8.452237551050622
ade,0.9236424859235224
adek,1.1937893663533647
adeknya,0.5218290772301852
adik,0.9349761593416637
adl,0.8520809534050134
advance,1.1179130475424048
ae,1.3953795826836357
agak,0.9276352274105005
agen,2.5653936356716716
aja,15.189069320019584
ak,3.2296981663934243
akan,4.894596811645566
akhirt,2.0505605741863837
aku,32.41799037321132
akuuu,1.3981749203861515
alisnya,1.0965385338249307
allah,3.9477762728734853
ama,2.023871702355954
aman,3.6301551787026285
amin,4.334210178506481
ampe,1.40634223122779
ampun,1.0673552321024293
an,3.2264704080417963
anak,7.249329885210271
anaknya,3.4043614213872693
aneed,1.1774675295164243
aneh,1.2758213569250738
aneut,1.3271853646744403
anjir,2.16516106225094
ank,6.742541670863115
ap,3.531844122166767
apa,24.280219056262244
apus,0.9493610184375645
aq,3.169594686308292
artis,2.8619452058488735
asikkk,0.5397191051982595
asli,1.4994679307509908
atasan,1.8313339903652748
atau,2.851288411736645
ato,1.271450278326565
author,0.9223045472820985
awal,3.356348510539382
ayah,3.996120616797477
ayo,4.582628396696214
ayooo,0.7962014880503613
baca,3.549081356467707
badan,0.8454272313246523
bagi,0.9235757276439324
bagiin,1.273236043450805
bagus,3.43792363333477
bahagia,1.507470049555957
bahannya,1.2531451692660736
bahasa,2.921902141759072
bahkan,2.966447084207246
baik,4.792073429446748
baju,1.2293649533325977
bajunya,0.7706541720436166
bakal,4.2625191584865805
bakalan,0.6778240912763983
bakar,1.254500162031831
balas,1.373055912939426
bales,1.3846206262947103
balesin,0.641930931867218
balik,4.054457490223659
bang,1.0741580090260463
banget,15.62628981265317
bangett,0.7857957343454025
bangettt,1.677865173549747
banggakan,1.3569085396865534
bangun,9.057152715752546
bantu,6.771106828641087
bantuim,1.7685414716463128
banyak,6.4484210454564295
bape,1.7841698665339023
baper,1.9179530510624994
barang,1.9127770761101086
bareng,1.2763535431332467
baru,8.833509717129242
bat,2.1701590081291657
battery,0.6419631379377405
bawa,2.046886076911069
bayi,0.6724808260085985
bbm,1.6883463616655656
beberapa,1.8080517128883273
beda,2.8247902893243495
bedanya,0.6051367381145139
begini,7.357263343870424
begitu,1.233762537208515
belajar,2.307543004160726
belakangnya,0.8180776335243346
beli,7.817491575060139
belikan,1.5404967006444865
belom,2.7798287415035206
belum,2.7844996017228887
benar,8.5234341481564
bener,22.967666636813586
beneran,2.692738648663956
bentuknya,0.8150966636073353
berak,1.1092037034112479
berani,1.8860313226997947
berapa,6.0822097422979695
berarti,1.739094427621938
berat,1.7166546365863684
berbeda,1.5918479819322866
berdasarkan,1.344263104934356
berdua,1.931949127134393
berhijap,0.9326011422242708
berhubungan,0.8402236938801702
berisi,2.5482892720402655
berteman,1.5051750364033367
berusaha,0.8206896852641536
besarin,0.688901925131004
besok,4.183003352667844
bet,1.9251118774075775
bets,0.8373426942030882
bgt,15.325199792081285
bgtt,1.0408976215240209
bgttt,0.7697385959445636
bgussss,2.369359801378975
biasa,2.634994742671276
bikin,7.848889387040853
bilang,4.328414751701646
birthday,1.0217234902360046
biru,1.2011628291426308
bisa,6.308458566169267
bisanya,2.399045387782632
bkin,1.1935467982466772
bleh,0.749201046578476
blg,1.133173772297662
blm,3.221500126969536
bngt,0.8218681545293927
bodoh,1.1035683346915808
boker,1.3724280596193514
bole,0.8141519005950437
boleh,3.8100191763635745
boro,2.480340465863337
bosan,1.3472035373157651
bosen,1.411012556597647
botak,0.9558184101578424
bpom,0.6587196572597567
brisi,1.0872272852929576
brp,1.315476404069527
bru,1.023418152350964
bs,5.745173948947939
buat,19.226037817583535
buka,5.615554727666544
bukan,4.119913944503468
bulan,8.498425182370154
buset,1.726733730015694
butuh,3.004465196259462
bwt,5.069145890121546
cakep,1.3315916659188987
cantik,3.070320776462931
cantinya,1.1477573848873497
cape,3.4097069754439207
capek,3.130200561680433
cara,9.27541930756133
caranya,1.9449207894755234
cari,2.3671046440574424
celana,1.0155838238210584
cepatan,1.1915138052900769
cepet,2.9095326632864293
ceritamu,1.24412093941925
ceritax,2.944020911777292
cewe,3.4707138151150896
cewek,2.0967359839799258
ceweknya,0.8733284103869814
cie,2.638017382579086
cinta,1.5747720002088326
cita,0.8384672817909364
ciuman,1.129134945725255
cm,1.2024151767804194
cmn,1.0277303643190072
coba,6.706645915411068
cocok,3.4563911887941123
comen,1.2397157235680245
confess,2.295430907079093
context,1.3075523223211571
cowo,4.45018337332021
cowok,3.451057345182631
cuco,1.1408654490939618
cukup,0.972864673444974
cuma,4.399490345787349
cuman,1.7115443328509514
curhat,1.5445933715966143
cw,5.345416460683895
cwek,1.2525154181983609
cwo,1.286103472445768
dah,3.328577663525266
dalam,2.2755532666901392
dan,5.643857196554473
dapet,4.01459487349374
dari,1.804963137690677
darimana,1.768758991598344
datang,1.3864436922655583
deh,3.6057944765565906
deket,1.276337575570278
denger,1.3866423375095107
dengerin,1.1817552317247195
depan,1.1186753987300588
dgn,1.1434245548028632
dh,1.5735881003328975
di,18.91366103930638
dia,9.595508928698393
diam,1.3117259230973897
diamkan,1.3682881108552434
diapa,1.4886508295735024
dibalas,2.0274863216103434
dibanding,0.8782088881435317
dibuat,0.794937203652238
diem,3.1005099759897616
diizinin,0.7169557779537306
dijadiin,1.5890804856605765
dijadikan,1.2705349157763228
dikasih,0.8337945378654983
dikatain,0.9865785502904298
diksi,1.7145212695426792
diminum,0.9250092791189161
