datetime,username,content
2022-12-14 11:41:19+00:00,PutriZenala,@cakimiNOW Siaaaap..  setuju gus.. kritikan sebagaimana menjadi masukan untuk lebih meningkatkan kualitas yang lebih baik....
2022-12-14 11:41:14+00:00,SitiJohariaLap1,@cakimiNOW Setuju Guss... Mantap 👍
2022-12-14 11:41:12+00:00,pld_anang,@cakimiNOW Sangat setuju Gus Muhaimin...
2022-12-14 11:40:55+00:00,yerrinbb,@eunbikwonr Nah kalau itu aku setuju kak
2022-12-14 11:40:53+00:00,Gusdiman8,@cakimiNOW Setuju gus
2022-12-14 11:40:46+00:00,_sokmen_,setuju banget #bersamajuara #ridwankamil https://t.co/HTjmmnFwSz
2022-12-14 11:40:41+00:00,cococoko0361,"@coffekoo_ @sisalahjurusan @undipmenfess Setuju, sering salah tempo keburu mahasiswanya bilang teknik wkwkw"
2022-12-14 11:40:34+00:00,winonadonna,"@salahsambungya Lol setuju!😂

Merasa tersakiti dengan org yg lg happy adalah another level of sakjiw. 

Iya, jiwanya sakit. 🙏🏼

Silakan disembuhkan dulu biar ga gampang ketrigger pas main sosmed😂"
2022-12-14 11:40:28+00:00,puthos,@KacangTanah123 @sbyfess Sip setuju
2022-12-14 11:40:20+00:00,tneventos,"Setuju, kami benar-benar terbantu sekali https://t.co/wGea4sM7Fa #jokowihebat ino harianto polresta balam"
2022-12-14 11:40:08+00:00,qifffffffff,@adxmhrizz setuju
2022-12-14 11:40:07+00:00,sarwono_inda,"@cakimiNOW Setuju mari kita budidaya kelapa genjah , karena waktu panen relatip cepat dan buahnya lebat"
2022-12-14 11:40:01+00:00,noneexist10,@doqtahu setuju
2022-12-14 11:39:58+00:00,abduln2508,@cakimiNOW Setuju guse..
2022-12-14 11:39:50+00:00,Akunke47,@benjolbarotho @kotaserui @Puspen_TNI @DivHumas_Polri @jokowi @corbuzier Setuju!!!
