,final,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
10,ajak split bill gamau pas tagih wkwkwk maaf balesan kasar https tco fmv,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[6.810142490647111, 5.711530201979001, 2.2992829841302607, 6.810142490647111, 5.4238481295272205, 4.1710851610318525, 2.2992829841302607, 6.810142490647111]","[0.8512678113308889, 0.7139412752473752, 0.2874103730162826, 0.8512678113308889, 0.6779810161909026, 0.5213856451289816, 0.2874103730162826, 0.8512678113308889]"
11,biar nang gimana help udh nang air tahan ga saranin lagu indo bener bikin nangisss,"[0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]","[5.4238481295272205, 4.689878954447019, 4.817712325956904, 2.7326050467413916, 3.749871695955549, 5.51085950651685, 6.810142490647111, 5.075541435259004, 5.51085950651685, 4.817712325956904, 6.810142490647111, 5.018383021419056]","[0.4172190868867093, 0.36075991957284764, 0.3705932558428388, 0.21020038821087628, 0.2884516689196576, 0.4239122697320654, 0.5238571146651624, 0.39042626425069266, 0.8478245394641308, 0.3705932558428388, 0.5238571146651624, 0.3860294631860812]"
12,km pikir dgn km hasut org benci sm kren khh kidss,"[0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[6.810142490647111, 5.829313237635384, 5.711530201979001, 5.829313237635384, 5.200704578213011]","[1.1350237484411851, 1.943104412545128, 0.9519217003298335, 0.971552206272564, 0.8667840963688351]"
13,kalo sender gimana thank u titip https tco,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[3.749871695955549, 2.2992829841302607, 3.2547944291576973, 3.4428466606606367, 2.2992829841302607, 5.6061696863211745, 4.773260563386071]","[0.5356959565650784, 0.32846899773289434, 0.4649706327368139, 0.49183523723723377, 0.32846899773289434, 0.8008813837601677, 0.68189436619801]"
14,unlabeled and rant be moots,"[0.25, 0.25, 0.25, 0.25]","[5.075541435259004, 5.4238481295272205, 5.962844630259907, 6.116995310087166]","[1.268885358814751, 1.3559620323818051, 1.4907111575649767, 1.5292488275217915]"
15,goals november,[1.0],[5.075541435259004],[5.075541435259004]
16,cocok tonton dua pacar atau saran movie romance manis ga too much lucu gituu makasiii https tco ltnfomz,"[0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]","[5.711530201979001, 6.810142490647111, 2.7326050467413916, 6.52246041819533, 2.2992829841302607, 5.4238481295272205, 6.116995310087166, 6.52246041819533, 4.412247217848741, 4.03755376840733, 2.2992829841302607, 6.29931686688112]","[0.47596085016491674, 0.5675118742205926, 0.2277170872284493, 0.5435383681829441, 0.1916069153441884, 0.4519873441272684, 0.5097496091739304, 0.5435383681829441, 0.3676872681540617, 0.3364628140339441, 0.1916069153441884, 0.5249430722400933]"
17,zootopia guyss https tco arbdiuxrwm,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[5.962844630259907, 2.2992829841302607, 2.2992829841302607]","[1.9876148767533022, 0.7664276613767536, 0.7664276613767536]"
18,how to say ga hilang without say that,"[0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125]","[2.7326050467413916, 5.962844630259907, 5.829313237635384, 6.810142490647111, 6.116995310087166, 4.773260563386071, 6.810142490647111]","[0.34157563084267395, 0.7453555787824884, 0.728664154704423, 1.7025356226617778, 0.7646244137608957, 0.5966575704232588, 0.8512678113308889]"
19,akt apakabarrr udah siap hadap utbk kalo iya ajar tps aja tka bingung bgt bijak yg,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[3.883403088580071, 5.6061696863211745, 3.7978809151419095, 4.730700948967275, 6.29931686688112, 3.2547944291576973, 3.5780214390288894, 2.8525089739669127]","[0.4854253860725089, 0.7007712107901468, 0.4747351143927387, 0.5913376186209094, 0.78741460836014, 0.40684930364471217, 0.44725267987861117, 0.3565636217458641]"
