,final,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
167,ga yaa olshop jual album kpop bungkus dipacking hadiah ultah gituu kalo spill btw tia,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[5.200704578213011, 2.7326050467413916, 6.52246041819533, 5.962844630259907, 3.2547944291576973, 6.116995310087166, 5.51085950651685, 5.200704578213011, 5.6061696863211745, 4.245193133185574]","[0.5200704578213011, 0.27326050467413915, 0.652246041819533, 0.5962844630259907, 0.32547944291576975, 0.6116995310087167, 0.551085950651685, 0.5200704578213011, 0.5606169686321175, 0.4245193133185574]"
168,kabar visnmokes,[1.0],[7.215607598755275],[7.215607598755275]
169,halooo bantu isi padlet ulang tahun teman ku linknya dm terimakasiii,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[4.864232341591798, 4.864232341591798, 6.810142490647111, 5.075541435259004, 4.96431580014878, 6.52246041819533, 6.810142490647111, 4.91302250576123, 5.829313237635384, 7.215607598755275, 5.6061696863211745]","[0.4422029401447089, 0.4422029401447089, 0.6191038627861011, 0.4614128577508186, 0.45130143637716186, 0.5929509471086664, 0.6191038627861011, 0.4466384096146573, 0.5299375670577622, 0.6559643271595704, 0.5096517896655613]"
170,what are you guys gonna do https tco,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[6.52246041819533, 5.829313237635384, 3.303584593327129, 2.2992829841302607, 2.2992829841302607, 6.29931686688112, 4.730700948967275]","[0.9317800597421899, 0.832759033947912, 0.47194065618958986, 0.32846899773289434, 0.32846899773289434, 0.8999024095544457, 0.6758144212810393]"
171,guys pap muka asli gak kalo chat anonymous telegram kalo cewek yah,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.1, 0.1, 0.1]","[6.29931686688112, 5.829313237635384, 5.51085950651685, 3.689247074139114, 3.303584593327129, 3.2547944291576973, 6.29931686688112, 6.116995310087166, 5.711530201979001]","[0.6299316866881121, 0.5829313237635384, 0.551085950651685, 0.3689247074139114, 0.3303584593327129, 0.6509588858315395, 0.6299316866881121, 0.6116995310087167, 0.5711530201979002]"
172,guys tolong like and komeng reelsku egk yh nnti klo mo barter like tugas ato lomba bleh darling nnti ak dm yyh,"[0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667]","[5.4238481295272205, 5.075541435259004, 6.810142490647111, 4.864232341591798, 3.303584593327129, 5.018383021419056, 5.51085950651685, 6.52246041819533, 7.215607598755275, 5.962844630259907, 4.412247217848741, 5.13616605707544, 5.51085950651685]","[0.3615898753018147, 0.33836942901726696, 0.45400949937647406, 0.3242821561061199, 0.22023897288847527, 0.3345588680946037, 0.7347812675355799, 0.4348306945463553, 0.48104050658368497, 0.7950459507013209, 0.2941498145232494, 0.342411070471696, 0.36739063376778996]"
173,salah ga gua kangen doi pdhl yg ngeblok duluan trs ultah gua ken bgt ngucapin,"[0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]","[3.7978809151419095, 6.29931686688112, 6.29931686688112, 2.7326050467413916, 6.52246041819533, 5.829313237635384, 4.353406717825807, 6.52246041819533, 4.96431580014878, 4.864232341591798, 5.6061696863211745, 2.8525089739669127]","[0.2921446857801469, 0.48456283591393234, 0.48456283591393234, 0.21020038821087628, 1.0034554489531278, 0.4484087105873373, 0.3348774398327544, 0.5017277244765639, 0.3818704461652908, 0.37417171858398446, 0.43124382202470574, 0.21942376722822407]"
174,drop any song that relates to this month https tco,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[6.810142490647111, 5.343805421853684, 2.2992829841302607, 6.52246041819533, 2.2992829841302607, 6.116995310087166, 6.116995310087166, 4.773260563386071]","[0.8512678113308889, 0.6679756777317105, 0.2874103730162826, 0.8153075522744162, 0.2874103730162826, 0.7646244137608957, 0.7646244137608957, 0.5966575704232588]"
175,eh kemaren berita festival batal sender tinggal https tco evo,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[7.215607598755275, 7.215607598755275, 6.52246041819533, 2.2992829841302607, 7.215607598755275, 3.4428466606606367, 2.2992829841302607, 5.829313237635384]","[0.9019509498444094, 0.9019509498444094, 0.8153075522744162, 0.2874103730162826, 0.9019509498444094, 0.4303558325825796, 0.2874103730162826, 0.728664154704423]"
176,saran quotes motivasi alas tahan serah idol artis film anime tia https tco,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[6.810142490647111, 6.116995310087166, 5.51085950651685, 2.2992829841302607, 7.215607598755275, 6.810142490647111, 4.03755376840733, 6.810142490647111, 2.2992829841302607, 5.200704578213011]","[0.6810142490647112, 0.6116995310087167, 0.551085950651685, 0.2299282984130261, 0.7215607598755276, 0.6810142490647112, 0.403755376840733, 0.6810142490647112, 0.2299282984130261, 0.5200704578213011]"
177,abis rumah pacar trs sakit tetep nganterin pulang yaallah ngerasa dosa dianterin pulang yg sakit pdhl pake gojek ngga tp gaboleh,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.125, 0.0625, 0.125, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[4.96431580014878, 5.269697449699962, 4.730700948967275, 4.412247217848741, 3.9769291465908947, 6.52246041819533, 7.215607598755275, 4.817712325956904, 4.96431580014878, 5.6061696863211745, 4.1475546636216585, 4.864232341591798, 7.215607598755275, 2.8525089739669127]","[0.31026973750929876, 0.3293560906062476, 0.2956688093104547, 0.2757654511155463, 0.24855807166193092, 0.4076537761372081, 0.9019509498444094, 0.3011070203723065, 0.6205394750185975, 0.3503856053950734, 0.25922216647635365, 0.30401452134948737, 0.4509754749222047, 0.17828181087293204]"
178,nangisszzz  pake lem tembak nyatu gakk yaaa https tco ivmexrr,"[0.2, 0.2, 0.2, 0.2, 0.2]","[6.29931686688112, 2.2992829841302607, 3.9769291465908947, 2.2992829841302607, 5.711530201979001]","[1.2598633733762241, 0.4598565968260522, 0.795385829318179, 0.4598565968260522, 1.1423060403958003]"
179,ko gemes kamuu,"[0.5, 0.5]","[6.52246041819533, 6.810142490647111]","[3.261230209097665, 3.4050712453235557]"
180,line ku garing bgt biar rame gimana,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[3.7978809151419095, 4.689878954447019, 3.749871695955549, 4.96431580014878, 7.215607598755275, 6.810142490647111]","[0.6329801525236516, 0.7816464924078366, 0.6249786159925914, 0.8273859666914634, 1.2026012664592125, 1.1350237484411851]"
181,udah tahun doi jenjang serius udah kenalin orangtua galeri sosmed foto mantan doi akun bucin mantan sampe aktifaku ga sengaja nemu twitter cont,"[0.0625, 0.0625, 0.125, 0.0625, 0.0625, 0.125, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.125]","[4.96431580014878, 4.2978368666709965, 6.29931686688112, 5.269697449699962, 2.7326050467413916, 5.200704578213011, 5.962844630259907, 4.650658241293739, 6.29931686688112, 7.215607598755275, 4.91302250576123, 5.962844630259907, 3.5780214390288894]","[0.31026973750929876, 0.2686148041669373, 0.78741460836014, 0.3293560906062476, 0.17078781542133697, 0.6500880722766263, 0.3726777893912442, 0.29066614008085867, 0.39370730418007, 0.4509754749222047, 0.3070639066100769, 0.3726777893912442, 0.44725267987861117]"
182,ngereply mf base kadang ngerasa kalo cuman dijadiin ganti mantan kadang bahas mantan pas bareng gimana sakit banget kalo jujur ti ti pan,"[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.1, 0.1, 0.1, 0.05, 0.05, 0.05, 0.05, 0.1]","[3.81441021709312, 6.29931686688112, 6.29931686688112, 6.29931686688112, 6.810142490647111, 5.829313237635384, 3.749871695955549, 5.711530201979001, 5.51085950651685, 3.2547944291576973, 5.200704578213011, 7.215607598755275, 5.269697449699962, 4.1710851610318525, 4.96431580014878, 7.215607598755275]","[0.19072051085465602, 0.31496584334405603, 0.31496584334405603, 0.31496584334405603, 0.3405071245323556, 0.2914656618817692, 0.18749358479777745, 0.2855765100989501, 0.551085950651685, 0.32547944291576975, 0.5200704578213011, 0.3607803799377638, 0.2634848724849981, 0.20855425805159264, 0.248215790007439, 0.7215607598755276]"
183,guyz jd ak jumat kemaren adopt kucing umur tp malem tuh ngeong mulu ga kandang,"[0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]","[6.52246041819533, 5.4238481295272205, 2.7326050467413916, 5.343805421853684, 7.215607598755275, 7.215607598755275, 5.269697449699962, 5.51085950651685, 5.4238481295272205, 4.1475546636216585, 4.541458949328746, 5.829313237635384]","[0.5435383681829441, 0.4519873441272684, 0.2277170872284493, 0.445317118487807, 0.6013006332296063, 0.6013006332296063, 0.43914145414166345, 0.45923829220973744, 0.4519873441272684, 0.34562955530180484, 0.37845491244406215, 0.485776103136282]"
184,drop your now playing,"[0.5, 0.5]","[5.343805421853684, 5.269697449699962]","[2.671902710926842, 2.634848724849981]"
185,saran nama kucing lahir dong putih trus satu belang abu item makasii,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[6.52246041819533, 6.810142490647111, 5.269697449699962, 6.810142490647111, 5.711530201979001, 5.200704578213011, 6.810142490647111, 4.03755376840733, 7.215607598755275, 5.6061696863211745]","[0.652246041819533, 0.6810142490647112, 0.5269697449699962, 0.6810142490647112, 0.5711530201979002, 0.5200704578213011, 0.6810142490647112, 0.403755376840733, 0.7215607598755276, 0.5606169686321175]"
186,ku hadap ngeluh twitter,"[0.5, 0.5]","[4.96431580014878, 5.962844630259907]","[2.48215790007439, 2.9814223151299535]"
187,saran film netflix yg dijadiin tema bts,"[0.2, 0.2, 0.2, 0.2, 0.2]","[6.810142490647111, 5.51085950651685, 4.03755376840733, 6.52246041819533, 2.8525089739669127]","[1.3620284981294224, 1.10217190130337, 0.807510753681466, 1.304492083639066, 0.5705017947933826]"
188,hey lupa doa utk malem gak marah saudara aja luahin yg dalem hati inget setia tunggu peduli sayang banget ama god bless you,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[3.883403088580071, 6.116995310087166, 3.81441021709312, 6.29931686688112, 6.29931686688112, 3.689247074139114, 5.6061696863211745, 7.215607598755275, 5.51085950651685, 5.51085950651685, 6.29931686688112, 5.962844630259907, 6.52246041819533, 7.215607598755275, 2.8525089739669127, 4.730700948967275]","[0.24271269303625445, 0.38231220688044787, 0.23840063856832, 0.39370730418007, 0.39370730418007, 0.23057794213369462, 0.3503856053950734, 0.4509754749222047, 0.3444287191573031, 0.3444287191573031, 0.39370730418007, 0.3726777893912442, 0.4076537761372081, 0.4509754749222047, 0.17828181087293204, 0.2956688093104547]"
189,kakak submit jurnal tp lupa add author gmna gabisa cancel udh lanjur kirim,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[6.810142490647111, 5.343805421853684, 6.810142490647111, 6.116995310087166, 6.29931686688112, 5.51085950651685, 4.1475546636216585, 5.018383021419056]","[0.8512678113308889, 0.6679756777317105, 0.8512678113308889, 0.7646244137608957, 0.78741460836014, 0.6888574383146062, 0.5184443329527073, 0.627297877677382]"
190,tau jendral nathan fiksi megang akun twitter deh author kah emg org yg megang kayak rajin bgt your day ga bosennya,"[0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667]","[4.96431580014878, 6.810142490647111, 3.7978809151419095, 5.962844630259907, 5.962844630259907, 6.52246041819533, 6.810142490647111, 2.7326050467413916, 5.6061696863211745, 4.864232341591798, 5.711530201979001, 4.1475546636216585, 5.962844630259907, 2.8525089739669127, 5.269697449699962]","[0.33095438667658533, 0.45400949937647406, 0.2531920610094606, 0.39752297535066045, 0.39752297535066045, 0.4348306945463553, 0.45400949937647406, 0.18217366978275945, 0.373744645754745, 0.3242821561061199, 0.38076868013193343, 0.2765036442414439, 0.39752297535066045, 0.1901672649311275, 0.3513131633133308]"
191,rant unlabeled small acc mutualan yukk temenan prefer suka jbjb komen pake meme trbaikmu yeah love,"[0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142]","[5.829313237635384, 6.116995310087166, 5.343805421853684, 6.810142490647111, 5.343805421853684, 3.9769291465908947, 6.52246041819533, 5.962844630259907, 7.215607598755275, 4.2978368666709965, 5.829313237635384, 6.116995310087166, 7.215607598755275, 6.810142490647111]","[0.416379516973956, 0.43692823643479756, 0.3817003872752631, 0.4864387493319365, 0.3817003872752631, 0.2840663676136353, 0.46589002987109496, 0.4259174735899933, 0.5154005427682339, 0.3069883476193569, 0.416379516973956, 0.43692823643479756, 0.5154005427682339, 0.4864387493319365]"
192,niacinnya mending the,"[0.5, 0.5]","[4.864232341591798, 5.51085950651685]","[2.432116170795899, 2.755429753258425]"
193,wdyt guys gas aja mundur https tco dgihheinox,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[3.883403088580071, 6.52246041819533, 3.303584593327129, 2.2992829841302607, 6.116995310087166, 2.2992829841302607, 6.52246041819533]","[0.554771869797153, 0.9317800597421899, 0.47194065618958986, 0.32846899773289434, 0.8738564728695951, 0.32846899773289434, 0.9317800597421899]"
194,rest in peace lee jih https tco,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[2.2992829841302607, 5.200704578213011, 2.2992829841302607]","[0.7664276613767536, 1.7335681927376703, 0.7664276613767536]"
195,random question yg phobia senin ga,"[0.25, 0.25, 0.25, 0.25]","[2.7326050467413916, 5.829313237635384, 6.29931686688112, 2.8525089739669127]","[0.6831512616853479, 1.457328309408846, 1.57482921672028, 0.7131272434917282]"
196,guys langit rumah yg belah merah belah item ga,"[0.25, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[6.29931686688112, 2.7326050467413916, 3.303584593327129, 6.810142490647111, 6.810142490647111, 4.817712325956904, 2.8525089739669127]","[1.57482921672028, 0.34157563084267395, 0.41294807416589113, 0.8512678113308889, 0.8512678113308889, 0.602214040744613, 0.3565636217458641]"
197,guys tau sound tikt bahasa jawa tuh tau makasiiih https tco ywjvsxzzdw,"[0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125]","[5.962844630259907, 3.303584593327129, 2.2992829841302607, 4.1475546636216585, 2.2992829841302607, 7.215607598755275, 4.541458949328746]","[0.7453555787824884, 0.41294807416589113, 0.2874103730162826, 1.0368886659054146, 0.2874103730162826, 0.9019509498444094, 0.5676823686660932]"
198,mutualan ig yok guysss,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[6.116995310087166, 4.507557397653065, 5.343805421853684]","[2.0389984366957217, 1.5025191325510217, 1.781268473951228]"
199,saran eyeshadow palette sedia gu rd,"[0.5, 0.5]","[4.03755376840733, 6.116995310087166]","[2.018776884203665, 3.058497655043583]"
200,saran https tco,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[2.2992829841302607, 4.03755376840733, 2.2992829841302607]","[0.7664276613767536, 1.3458512561357765, 0.7664276613767536]"
201,kasih tips biar cepet tidur tidur malem trs,"[0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.125]","[4.689878954447019, 5.711530201979001, 4.773260563386071, 5.51085950651685, 4.730700948967275, 7.215607598755275, 4.864232341591798]","[0.5862348693058774, 0.7139412752473752, 0.5966575704232588, 0.6888574383146062, 1.1826752372418188, 0.9019509498444094, 0.6080290426989747]"
202,gue kangen day,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[5.962844630259907, 4.38239425469906, 5.829313237635384]","[1.9876148767533022, 1.4607980848996864, 1.943104412545128]"
203,nemu postingan majalah hp jadul tahun ig alias tahun sender lahir yaampun lucu kalo liat model hp jaman https tco snwi,"[0.0625, 0.125, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.125, 0.0625]","[6.52246041819533, 5.13616605707544, 2.2992829841302607, 4.507557397653065, 7.215607598755275, 6.29931686688112, 3.2547944291576973, 6.810142490647111, 4.612917913310891, 5.4238481295272205, 5.962844630259907, 3.4428466606606367, 4.91302250576123, 2.2992829841302607]","[0.4076537761372081, 0.64202075713443, 0.1437051865081413, 0.2817223373533166, 0.4509754749222047, 0.39370730418007, 0.20342465182235608, 0.42563390566544446, 0.2883073695819307, 0.3389905080954513, 0.3726777893912442, 0.2151779162912898, 0.6141278132201538, 0.1437051865081413]"
204,yg tf spay bank kalo jam gin emang proses ty,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[6.810142490647111, 5.962844630259907, 4.245193133185574, 5.018383021419056, 3.2547944291576973, 7.215607598755275, 7.215607598755275, 2.8525089739669127]","[0.8512678113308889, 0.7453555787824884, 0.5306491416481968, 0.627297877677382, 0.40684930364471217, 0.9019509498444094, 0.9019509498444094, 0.3565636217458641]"
205,ultah lagu yg cocok igs thanks in advance,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[6.810142490647111, 5.711530201979001, 6.810142490647111, 5.200704578213011, 5.075541435259004, 5.6061696863211745, 5.6061696863211745, 2.8525089739669127]","[0.8512678113308889, 0.7139412752473752, 0.8512678113308889, 0.6500880722766263, 0.6344426794073755, 0.7007712107901468, 0.7007712107901468, 0.3565636217458641]"
206,guys mending co skinker skg karna payday tunggu diskon bnyk guys,"[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[3.303584593327129, 5.829313237635384, 4.864232341591798, 7.215607598755275, 6.52246041819533]","[1.1011948644423764, 0.971552206272564, 0.8107053902652996, 1.2026012664592125, 1.0870767363658882]"
207,muka gue asa kadang cakep kadang ngga konsisten ga sihh cakep gituu,"[0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[5.711530201979001, 6.810142490647111, 2.7326050467413916, 6.52246041819533, 4.38239425469906, 5.51085950651685, 6.29931686688112, 4.730700948967275, 6.810142490647111]","[0.5192300183617274, 1.2382077255722022, 0.2484186406128538, 0.5929509471086664, 0.3983994776999145, 1.0019744557303363, 0.5726651697164654, 0.43006372263338866, 0.6191038627861011]"
208,gilaaa gue kontak sampe akkkun rp mantan rp gue tahun,"[0.25, 0.125, 0.125, 0.25, 0.125, 0.125]","[4.38239425469906, 6.29931686688112, 5.200704578213011, 6.810142490647111, 4.650658241293739, 4.91302250576123]","[1.095598563674765, 0.78741460836014, 0.6500880722766263, 1.7025356226617778, 0.5813322801617173, 0.6141278132201538]"
209,guys saran ngucapin ulang tahun bestie yg anti mainstream donggg pls ak udh buntu bgt https tco,"[0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]","[5.4238481295272205, 6.810142490647111, 3.7978809151419095, 5.962844630259907, 3.303584593327129, 2.2992829841302607, 5.711530201979001, 4.03755376840733, 4.91302250576123, 2.2992829841302607, 5.018383021419056, 5.6061696863211745, 2.8525089739669127]","[0.4172190868867093, 0.5238571146651624, 0.2921446857801469, 0.458680356173839, 0.25412189179439454, 0.17686792185617392, 0.43934847707530783, 0.3105810591082562, 0.37792480813547924, 0.17686792185617392, 0.3860294631860812, 0.43124382202470574, 0.21942376722822407]"
210,mak mail ijat gak sih,"[0.5, 0.5]","[3.689247074139114, 4.124565145396959]","[1.844623537069557, 2.0622825726984795]"
211,cape bgt hidup ken istirahat bentarrr aja ga si,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[3.883403088580071, 3.7978809151419095, 5.51085950651685, 2.7326050467413916, 6.29931686688112, 4.353406717825807, 4.612917913310891]","[0.554771869797153, 0.5425544164488442, 0.7872656437881214, 0.3903721495344845, 0.8999024095544457, 0.6219152454036867, 0.6589882733301273]"
212,anak tahun nanya emang hp jaman kalo udah layar warna harga mahal banget sampe bikin artikel https tco,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[4.650658241293739, 3.81441021709312, 4.817712325956904, 5.962844630259907, 5.962844630259907, 5.13616605707544, 2.2992829841302607, 6.29931686688112, 3.2547944291576973, 6.116995310087166, 5.269697449699962, 4.650658241293739, 4.91302250576123, 2.2992829841302607, 3.5780214390288894, 6.810142490647111]","[0.29066614008085867, 0.23840063856832, 0.3011070203723065, 0.3726777893912442, 0.3726777893912442, 0.321010378567215, 0.1437051865081413, 0.39370730418007, 0.20342465182235608, 0.38231220688044787, 0.3293560906062476, 0.29066614008085867, 0.3070639066100769, 0.1437051865081413, 0.22362633993930559, 0.42563390566544446]"
213,saranin lagu kaya gin gais https tco fuzxmgw,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[4.650658241293739, 4.245193133185574, 2.2992829841302607, 4.817712325956904, 5.075541435259004, 4.817712325956904, 2.2992829841302607]","[0.6643797487562484, 0.6064561618836534, 0.32846899773289434, 0.6882446179938434, 0.7250773478941435, 0.6882446179938434, 0.32846899773289434]"
214,how you guys deal with loneliness,"[0.25, 0.25, 0.25, 0.25]","[3.303584593327129, 5.829313237635384, 6.29931686688112, 4.730700948967275]","[0.8258961483317823, 1.457328309408846, 1.57482921672028, 1.1826752372418188]"
215,anjr ni habis pandemi cakep gue ngeliat glow up but me,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[6.116995310087166, 6.810142490647111, 4.38239425469906, 6.116995310087166, 5.075541435259004, 7.215607598755275, 6.116995310087166, 5.343805421853684]","[0.7646244137608957, 0.8512678113308889, 0.5477992818373825, 0.7646244137608957, 0.6344426794073755, 0.9019509498444094, 0.7646244137608957, 0.6679756777317105]"
216,besok temen ulang tahun isi secreto ga yaa dm linknya,"[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[5.4238481295272205, 4.864232341591798, 2.7326050467413916, 5.075541435259004, 6.52246041819533, 4.91302250576123, 4.1475546636216585, 5.6061696863211745, 4.245193133185574]","[0.6026497921696912, 0.5404702601768664, 0.3036227829712657, 0.5639490483621116, 0.7247178242439255, 0.5458913895290255, 0.4608394070690731, 0.622907742924575, 0.4716881259095082]"
217,kuis sempat kali kira ambil nilai tinggi bagi rata yaa sender mo ngulang gatau salah mana takut ulang nambah kecil,"[0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]","[6.116995310087166, 5.343805421853684, 6.52246041819533, 6.810142490647111, 6.116995310087166, 7.215607598755275, 6.52246041819533, 4.96431580014878, 3.4428466606606367, 4.474767574830074, 5.6061696863211745, 4.245193133185574]","[0.5097496091739304, 0.445317118487807, 0.5435383681829441, 0.5675118742205926, 0.5097496091739304, 0.6013006332296063, 0.5435383681829441, 0.4136929833457317, 0.2869038883883864, 0.37289729790250614, 0.4671808071934312, 0.35376609443213114]"
218,ciwi muka pake masker kaya gin ga klo iya spill https tco,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[2.7326050467413916, 4.245193133185574, 2.2992829841302607, 6.29931686688112, 4.817712325956904, 5.018383021419056, 6.29931686688112, 3.9769291465908947, 5.51085950651685, 2.2992829841302607]","[0.27326050467413915, 0.4245193133185574, 0.2299282984130261, 0.6299316866881121, 0.48177123259569044, 0.5018383021419056, 0.6299316866881121, 0.3976929146590895, 0.551085950651685, 0.2299282984130261]"
219,titip kalo payment pake qris shopeepay tuh username akun shopee liat gak,"[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[4.96431580014878, 3.689247074139114, 3.2547944291576973, 4.612917913310891, 3.9769291465908947, 7.215607598755275, 4.773260563386071, 4.541458949328746, 6.52246041819533]","[0.5515906444609755, 0.40991634157101264, 0.36164382546196633, 0.5125464348123212, 0.4418810162878772, 0.801734177639475, 0.5303622848206745, 0.5046065499254162, 0.7247178242439255]"
220,sp yg lgi pilek cungg,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[6.52246041819533, 6.52246041819533, 2.8525089739669127]","[2.1741534727317764, 2.1741534727317764, 0.9508363246556375]"
221,besok temen ulang tahun isi secreto ga yaa,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[5.4238481295272205, 2.7326050467413916, 5.075541435259004, 4.91302250576123, 4.1475546636216585, 5.6061696863211745, 4.245193133185574]","[0.7748354470753172, 0.3903721495344845, 0.7250773478941435, 0.70186035796589, 0.5925078090888083, 0.8008813837601677, 0.6064561618836534]"
222,masukin qris website foto ajaa ubung tolong jelasin paham terimakasih yaa,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[5.269697449699962, 6.29931686688112, 6.52246041819533, 7.215607598755275, 4.412247217848741, 6.810142490647111, 4.245193133185574]","[0.7528139213857088, 0.8999024095544457, 0.9317800597421899, 1.0308010855364678, 0.6303210311212486, 0.972877498663873, 0.6064561618836534]"
