datetime,username,content
2022-10-12 01:37:18+00:00,dobbyiesky,"HIVI, JUICY LUICY, FIERSA BESARI, TREASURE https://t.co/V3lvrHG44J"
2022-10-12 01:33:24+00:00,ieo200707,@FiersaBesari Udah remediasi tetep bln jodohku
2022-10-12 01:06:23+00:00,NureQgiLer,@aemieruls_ Runtuh by Feby Putri and @FiersaBesari https://t.co/v9C6zx0G3j
2022-10-12 01:04:23+00:00,dxtrrr,"""Memberi perhatian tapi bukan kepastian "" Fiersa Besari - Pengecut"
2022-10-12 00:56:29+00:00,aldofaruq20,Gue kira @FiersaBesari https://t.co/6slcdZcLv7
2022-10-12 00:50:27+00:00,ihtishamhasan_,@FiersaBesari Di gosok gosok keluar daki
2022-10-12 00:47:43+00:00,xpdm124x,"@FiersaBesari was right

Kita hanyalah manusia yang terluka
Terbiasa 'tuk pura-pura tertawa
Namun bolehkah sekali saja ku menangis?
Ku tak ingin lagi membohongi diri  ☻️"
2022-10-12 00:30:37+00:00,_fazedout,@FiersaBesari HAHA
2022-10-12 00:23:39+00:00,ryuni683,@FiersaBesari Saling sapa nya via virtual kali yah ..
2022-10-12 00:19:17+00:00,cloudyraa,@NANGISAJALAHANJ @FiersaBesari Anjime
2022-10-12 00:13:45+00:00,pinanda19,@FiersaBesari jhaaahaha bisa begitu lurr
2022-10-12 00:07:33+00:00,aynunaf,@revinauw @FiersaBesari Share dong kisikisinya
2022-10-12 00:06:21+00:00,willy_cadel,"Fiersa Besari ""Masa lalu itu bukan untuk dilupakan, tapi untuk dilihat dari persepsi yang tidak menyakitkan"""
2022-10-12 00:03:56+00:00,04_alfonsius,@FiersaBesari Wkwk
2022-10-11 23:51:24+00:00,Etta05051253,@FiersaBesari Wow
2022-10-11 23:40:45+00:00,intan_nsh,"@FiersaBesari Lampor😭,nontonya bikin parno 3 hati"
2022-10-11 23:24:11+00:00,kimthyngjk,"Sarapan pagi, ditutup ngemil uli, sambil dengerin lagu april punya fiersa besari"
2022-10-11 23:15:14+00:00,Rjuli14,@FiersaBesari Hehe maaf atuh nya
2022-10-11 23:00:23+00:00,apricotblossome,"KOK KAYAK FIERSA BESARI ANJIR
https://t.co/2Bi7xabU0H"
2022-10-11 22:54:32+00:00,agel_ap09,@FiersaBesari Laha temen gue di gosok gosok keluar dede bayi
2022-10-11 22:50:25+00:00,revinauw,@aynunaf @FiersaBesari Jangan lupa baca kisi kisinya nun
2022-10-11 22:19:17+00:00,SumedaniMandala,@FiersaBesari Ha ha ha
2022-10-11 21:48:21+00:00,lahir_september,"@FiersaBesari Jangan biarkan semesta bekerja, karena loe bukan raja"
2022-10-11 21:45:42+00:00,MSyahrialFirma1,@FiersaBesari NT bung
2022-10-11 21:44:37+00:00,MuhammadSyachd3,"pengen kek orang-orang,supaya orang-orang kek pengen

entah itu dari segi apapun yg jelas mengandung keuntungan.
seperti kek abg @FiersaBesari gitu lohh"
2022-10-11 21:42:58+00:00,lahir_september,@FiersaBesari Gue malah balas..... Ya jelas enak dong. Emang hidup loe isinya ngeluh Mulu dan merasa menderita 🤣🤣😝😀
2022-10-11 21:40:33+00:00,lahir_september,@hawabukan @FiersaBesari Dia ogah loe deketinnn 🤣🤣
2022-10-11 21:28:25+00:00,anggra3lisabeth,@dwikimic @FiersaBesari Mau yg menyuruhku untk pergi dong bang hehe
2022-10-11 21:26:56+00:00,King_Rizuki,Semua grgr Fiersa Besari
2022-10-11 20:25:25+00:00,Cahya1213,"""Tidak ada yang abadi, baik bahagia maupun luka. Suatu saat kita akan tiba di titik menertawakan rasa yang dulu sakit, atau menangisi masa yang dulu indah"" 

Fiersa Besari"
2022-10-11 20:07:24+00:00,sukasuntuk,seperti lagu fiersa besari aku kesal dgn jarak... itulah yg kurasakan skrg
2022-10-11 19:59:05+00:00,Oke131313,@FiersaBesari Entah lah jadi ayang atau arang bang wkwkwk
2022-10-11 19:14:39+00:00,Lutz04442598,@KitsuneXNFT @nat_ryr @chefofmembers @FiersaBesari
2022-10-11 19:12:19+00:00,alfiinnmuzakki,@FiersaBesari tapi gua bodoamat enak bareng
2022-10-11 19:01:52+00:00,zakisahari_,"Aku hanya seorang pengecut yang sedang jatuh hati.

- Fiersa Besari -"
2022-10-11 18:27:19+00:00,satsetsuna,@DeviNalawati rikues fiersa besari waktu yang salah dev
2022-10-11 18:19:24+00:00,Maull079,"@dwikimic @FiersaBesari Udah jadi kursi, duduk lagi :v"
2022-10-11 18:15:39+00:00,iniigueee17,"@AssaliaGracia Yakin???
@FiersaBesari 
@dsuperboy 
@ernestprakasa 
Gimana tanggepan klean"
2022-10-11 18:11:15+00:00,Ayy62265542,"@FiersaBesari gak bisa remedial tahun depan, pengennya cepet cepet remednya biar cepet juga jadi jodohnya wkwk"
2022-10-11 18:08:49+00:00,gebygisela,@FiersaBesari @lanz_deztian @kristalprizzy
2022-10-11 17:53:24+00:00,lesyeugz,Pengen nyoba2 aja. Siapa tau bisa jadi penerus @FiersaBesari
2022-10-11 17:29:21+00:00,And_rfky,@UpdateBolabola @FiersaBesari ?
2022-10-11 17:23:47+00:00,Lianier30,Lagu yang ga mau lagi didengerin sampe akhir runtuh dari @FiersaBesari
2022-10-11 17:07:29+00:00,boobiime,@FiersaBesari https://t.co/v143ucxATp
2022-10-11 17:07:05+00:00,cheroophobi,@convomfs denger lagu fiersa besari ft. feby puti - runtuh / ziva magnolya - pilihan yang terbaik🥲
2022-10-11 17:00:50+00:00,dipanggileca,@pril_beom @kdrama_menfess Cc : @FiersaBesari https://t.co/7uJ82XQQO3
2022-10-11 16:57:10+00:00,kekosonganid,"@FiersaBesari Kan aku punya cewe lagi LDR cuman komunikasi nya blom terlalu lancar, karna ada problem and katanya, komunikasi nya bakal di perbaiki pas sudh dia selesai pelatihan, cuman takutnya aku pernah di selingkuhin takut terulang lagi sih"
2022-10-11 16:55:01+00:00,um_fess,um! Min. Aku lagi ter-fiersa² nihh. Lagi demen karya²nya bung fiersa besari. Dan apalagi abis ini ada FISTERIA di UM. Jadi hukumnya wajib nonton FISTERIA. Tapi gaada temen nonton nihh. Yang mau cari temen nonton FISTERIA sabi sih. Btw aku cowo min🙂
2022-10-11 16:54:31+00:00,novi_listy,"Bung @FiersaBesari tk’s udh menciptakan lagu yg sangat mewakili bgt. After putus 2 minggu &amp; pengen bgt nyanyiin didpn laki2 yg memang hati sy masih milik dia cuma emg waktunya yg salah .
To : gema smg nanti jk berjodoh, sy &amp; kamu dipersatukan dgn vers terbaik satu sama lain ☺️ https://t.co/sKTEjAXgzV"
2022-10-11 16:37:41+00:00,FurqanS3,@iamyouss_ @FiersaBesari Sebenarnya @tukularwana
2022-10-11 16:16:01+00:00,apriandikabagas,@FiersaBesari Masih bung ☝🏻. 'Brpa kalipun pepet wanita tuk singgah tetap foto ibu bapak di dompet bikin hati sumringah'..
2022-10-11 16:07:57+00:00,medanfess_,Wak! Ada yg jual tiket konser fiersa besari stars rabbit yg tanggal 4 micc ?
2022-10-11 16:07:38+00:00,whn420,Ujan2 playlist nya April - @FiersaBesari
2022-10-11 16:04:21+00:00,metaforamajenun,"ㅤㅤㅤ
&amp;&amp;. Modelan Fiersa Besari kayak gini ternyata pas ngelamar orang.
ㅤㅤㅤ https://t.co/RptLvpGi6u"
2022-10-11 15:56:04+00:00,takapediay,@FiersaBesari uhun kang
2022-10-11 15:52:57+00:00,Fangky04515,@FiersaBesari Mpik
2022-10-11 15:44:46+00:00,ar_robbiii,Sebagai dari obat rindu gunung @FiersaBesari kerennn bung 🔥🔥 https://t.co/QF69caPmwV
2022-10-11 15:36:21+00:00,annsuiii,@FiersaBesari Diam adalah caraku tenang
2022-10-11 15:29:49+00:00,Zia63475175,@widyaputrira @FiersaBesari Sabar bang
2022-10-11 15:29:29+00:00,TERSAKSI,juara kedua - fiersa besari
2022-10-11 15:09:28+00:00,akugemayyy,Nonton vierratale sm fiersa besari g y? Tp cmn tau lagu vierra😭😩
2022-10-11 15:04:52+00:00,AffiatFarid,"@idextratime @Santi_J_FM @MarioCortegana @le_Parisien @RMCsport Pergi saja engkau pergi dariku, biar kubunuh perasan jeruk nipis
- @FiersaBesari -"
2022-10-11 14:59:15+00:00,xfckbthc,@FiersaBesari oasu... udh tau dia nyakitin ttp aja gue masi ngejar
2022-10-11 14:52:09+00:00,xfckbthc,@FiersaBesari gimana ya caranya biar ga terus ngarep ke org yang jelas jelas kek babi?
2022-10-11 14:51:09+00:00,gungstd,"Semua akan bermuara pada hal-hal baik.

-Fiersa Besari"
2022-10-11 14:45:32+00:00,prakosobagasaji,Mbappe suruh play fiersa besari - waktu yang salah
2022-10-11 14:41:05+00:00,garislintanggg,@stillextisi Fiersa besari - temaram
2022-10-11 14:31:16+00:00,pkckAm,"Billie Eilish ✅
Kunto Aji ✅
AngkasaRIOT ✅
Pamungkas ✅
Dewa 19 ✅
Pesta Pora ✅
Hausboom ✅
Fourtwnty ✅
Orkes A Hizadin : 14/10
DV x TDS : 15/10
Rizky Febian : 20/10
Fiersa Besari : 31/10
Hujan : 5/11
NOAH : 12/11
Ungu : 19/11
Cakra Khan : 20/1
Westlife : 24/2"
2022-10-11 14:29:57+00:00,mbaktee,@FiersaBesari 🙏🏼 https://t.co/6TmsBQxlFS
2022-10-11 14:28:56+00:00,wepe20_,@FiersaBesari ??? https://t.co/qDLywyfpPv
2022-10-11 14:22:11+00:00,hell_olucifer,"@AlMelvada Enggak juga, tapi aku suka baca buku fiersa besari😆"
2022-10-11 14:18:30+00:00,hell_olucifer,"@AlMelvada Bener, kalo kata bung fiersa besari mah ""Rasa yang tidak berbatas takkan mempermasalahkan ketika tidak berbalas."""
2022-10-11 14:12:16+00:00,hanyalilin,@FiersaBesari Aku boleh kan ya ka?
2022-10-11 14:11:43+00:00,yyuusuuuff,"""Fiersa Besari"""
2022-10-11 13:51:16+00:00,rdvlvtlessice,"""bukankah luka menjadikan kita saling menguatkan""

—pelukku untuk pelikmu (fiersa besari)"
2022-10-11 13:46:24+00:00,EnongKhairi,"Now playing:
Runtuh - Feby putri ft. Fiersa besari (live session)"
2022-10-11 13:42:31+00:00,ASH_EN1,"Pagi penuh impian, 
Siang penuh bualan,
Malam penuh renungan.

Itulah manusia.

@FiersaBesari"
2022-10-11 13:37:43+00:00,vannillllaaa_,@agstt @FiersaBesari @MakeItAQuote
2022-10-11 13:37:30+00:00,vannillllaaa_,@FiersaBesari @MakeItAQuote
2022-10-11 13:33:38+00:00,RyuAmdarXCRO,@DegenBrains @DegenCro @WOWWOW4075 @crostradomus @keharloe @FiersaBesari
2022-10-11 13:26:48+00:00,kuaciii_,kangen jaman ngegalaw pake lagu fiersa Besari abis baca novelnya wkwkwk
2022-10-11 13:26:00+00:00,rajapatnii,@FiersaBesari Kadang meme yang biasa aja malah bikin ngakak brutal https://t.co/DKoPnd3DiI
2022-10-11 13:21:44+00:00,dindaajaaaaaaaa,"@FiersaBesari banyak mimpi yang terkubur, mengorbankan waktu tidur hanya untuk insekyur yang tak juga usai luntur:)"
2022-10-11 13:21:26+00:00,pinguinsweetie,@fleurvaa @convomf Fiersa besari
2022-10-11 13:19:24+00:00,lovelystuff19__,@FiersaBesari https://t.co/W9IrF4RqCs
2022-10-11 13:19:10+00:00,lovelystuff19__,@FiersaBesari gak gitu konsepnya😭 https://t.co/ZzBzURh6cF
2022-10-11 13:05:28+00:00,CheekyBuby,"@yxshinori__ Tulus - manusia kuat, diri
Nadin amizah - beranjak dewasa
Yura yunita - dunia tipu2, tutur batin, tenang
Fiersa besari - pelukku utk pelikmu"
2022-10-11 12:52:55+00:00,anikayuandini98,@FiersaBesari Hahaha ahh suka bener nih
2022-10-11 12:50:48+00:00,ajiediimas,In another universe fiersa besari plays football https://t.co/tHj1cdMc0X
2022-10-11 12:46:37+00:00,agafeb_,@FiersaBesari Mau nambah satu lagi bung?
2022-10-11 12:44:43+00:00,rakalapndess,@UpdateBolabola @FiersaBesari is that you? 🤣
2022-10-11 12:40:49+00:00,alzal18,Kirain @FiersaBesari https://t.co/sQmFkI4uwA
2022-10-11 12:31:01+00:00,ScotsWawan,@FiersaBesari Clue: mas pamung
2022-10-11 12:15:26+00:00,mwildanseptian,@FiersaBesari Kamu adalah topik percakapan panjang yang tidak pernah ingin aku sudahi. Aku adalah jawaban singkat yang selalu menutup percakapan kita.
2022-10-11 12:15:09+00:00,Bmuffine,@khrl_akbr @FiersaBesari P-pha mxsud… https://t.co/kVMY8vYKhI
2022-10-11 12:08:54+00:00,idbcpr,Meme Indonesia - Bung @fiersabesari ?... - https://t.co/hHPN5O2HoS https://t.co/V8HCKeEuGG
2022-10-11 12:05:55+00:00,yourssss____,"Kenal banda neira, fiersa besari dari mantan.
Eh malah suka sampe sekarang. https://t.co/vCOzRUbOGp"
2022-10-11 12:03:56+00:00,mfrd61,@widyaputrira @FiersaBesari 🤣🤣🤣
2022-10-11 11:55:00+00:00,pedihperjuangan,"@convomf fiersa besari, sumanto, alexander graham bell, fickyrafky"
2022-10-11 11:54:53+00:00,Natasyawillonaa,@FiersaBesari Di foll
2022-10-11 11:47:48+00:00,holajeyjuw,"@FiersaBesari maunya gini 
""ya Tuhan, kalo dia jodohku, dekatkan lah, tapi kalo bkn jodohku, maka beri aku jodoh yg bertanggung jawab, yg baik, yg mau sama2 effort biar aku ngak capek effort sendirian terus"""
2022-10-11 11:45:37+00:00,undipmenfess,-dips! Fiersa Besari was right ...
2022-10-11 11:37:00+00:00,kiosTix,"@FiersaBesari @juicyluicyband dan Club Dangdut Racun akan ke Bandung nih minggu depan, jangan sampe kelewatan ya! 

""PLAYFEST 2022""
Rabu, 19 Oktober 2022
Laswi Heritage, Bandung
Pukul 19.00 WIB

Beli tiketnya sekarang di https://t.co/pHxdBS2t1q atau klik https://t.co/gODH3ODrG3! https://t.co/1iVCftgXHx"
2022-10-11 11:31:10+00:00,ELMIELMO,"RM100 boleh layan 18 lagu Fiersa Besari termasuk Waktu Yang Salah, Runtuh, Lekas Pulih, April, Juara Kedua, Celengan Rindu dan lain-lain. Tambahan opening dari Langkasuka.

Tiket beli disini: https://t.co/O7KHJWIfXG atau https://t.co/NGTlVM1X2l!

#FiersaBesariLiveinKL https://t.co/al9I0FmQb1"
2022-10-11 11:29:07+00:00,ELMIELMO,"Fiersa Besari akan perform 18 lagu termasuk 1 lagu baru yang akan release minggu depan dekat #FiersaBesariLiveinKL.

Aku dah buat playlist Spotify, boleh dengar sini: https://t.co/m9AvbMjy8c

Lagu tak ikut turutan."
2022-10-11 11:27:31+00:00,radiovenusmks,#Np #FebyPutri feat. @FiersaBesari - Runtuh #5LaguPilihanmu #Traffic_Music W/ @dinyaida
2022-10-11 11:03:53+00:00,qteepeachy,"Yawla mau nonton rossa, fiersa besari, juicy luicy banget😭😭😭"
2022-10-11 10:57:30+00:00,nlmchya6666,@FiersaBesari Nonton one piece ga om
2022-10-11 10:54:02+00:00,KompasEnt,"Asmalibrasi Milik Soegi Bornean Viral, Ternyata gara-gara Desta dan Fiersa Besari https://t.co/9FeCKD6oa5"
2022-10-11 10:52:48+00:00,rexvrous,bung @FiersaBesari mohon pencerahan https://t.co/x6vXZvYt6u
2022-10-11 10:52:08+00:00,yalahhhhhhh,@ylofest Keduaaaaaa dong asiiik liat bung fiersa lagi @FiersaBesari
2022-10-11 10:51:40+00:00,0xKeh,@dogespromote Fiersa Besari - Waktu yg Salah
2022-10-11 10:45:10+00:00,ylofest,"[TWELEVE LINE UP]

YLO FESTIVAL PROUDLY PRESENT

FIERSA BESARI

Penyanyi yang satu ini akan membuat para peps bergalau bersenandung bersama di SKA.Coex Pada Hari ke ___
Jangan sampai kehabisan tiketnya yaa!

#YLOFestival #kompenentertainment https://t.co/v7lTgse6Eo"
2022-10-11 10:39:05+00:00,radiovenusmks,"#TRAFFIC_MUSIC: “5 Lagu pilihanmu” W/ @dinyaida, ikutan ya :
1.Feby Putri feat. Fiersa Besari - Runtuh
2.Kerispatih - Bila Rasaku Ini Rasamu  
3.Lyodra - Pesan Terakhir 
4.Stevan Pasaribu - Belum Siap Kehilangan
5.The Rain - Aku Siap!
Lagu yang direquest diputar jam 7 lewat"
2022-10-11 10:38:54+00:00,neilaaak,saran konten youtube naik gunung selain fiersa besari dong kakak 🙏🏻
2022-10-11 10:34:59+00:00,hnryalfnsyh,@FiersaBesari goodd
2022-10-11 10:27:49+00:00,emma_hasri,@FiersaBesari Tamabahin anjayy
2022-10-11 10:26:39+00:00,MutiaDea9,@FiersaBesari haha
2022-10-11 10:26:30+00:00,MutiaDea9,@FiersaBesari :)
2022-10-11 10:21:34+00:00,IbnuRsyd8,@hirup_rumasa @FiersaBesari Anjir😭🙏
2022-10-11 10:16:32+00:00,athaaacikiwirr,@FiersaBesari wkwk ril coyy
2022-10-11 10:14:48+00:00,DwiSyafia,@FiersaBesari @ndagels Kaget cok
2022-10-11 10:12:02+00:00,CahGalau_,Punya orang dalem apa bung @FiersaBesari bisa ni minta nomer kontaknya 😅 https://t.co/Xl0kzHGNAf
2022-10-11 10:02:32+00:00,RizalPangstu,@FiersaBesari wlwlwl
2022-10-11 10:02:22+00:00,RizalPangstu,@FiersaBesari anjay wkwkk
2022-10-11 10:02:06+00:00,RizalPangstu,@FiersaBesari wkwkk
2022-10-11 10:01:58+00:00,RizalPangstu,@FiersaBesari hmmm
2022-10-11 09:58:33+00:00,_C0ngrats,@dogespromote Runtuh-fiersa besari
2022-10-11 09:58:32+00:00,Rini_ney,"playlist wajib gue ketika turun hujan dan masih di mobil, itu lagu2 nya  @FiersaBesari , dijamin hujannya turun sampe ke hati. galau akut anjrrrrr"
2022-10-11 09:53:05+00:00,abdulsyarief12,@FiersaBesari @i_______yan Jngn jauh jauh lemparnya pal ntar terbang
2022-10-11 09:44:13+00:00,73954_,@FiersaBesari Liriknya astaghfirullah...
2022-10-11 09:43:34+00:00,Anitabcdef,"WTS tiket SOD Vol.3 section TOD Day 2. 
Dibantu sampe tiket fisik (penukaran wirstband)

tag wts wtb sod festival sby
Yang mo liat Tulus, Tiara Andini, The Changcuters, Fiersa Besari dll https://t.co/EUHmaGblKr"
2022-10-11 09:41:11+00:00,Ziyadatul14_,@FiersaBesari Yang pasti aku menginginkan nya
2022-10-11 09:39:45+00:00,JhonatanRizaldi,@FiersaBesari wkkwk
2022-10-11 09:39:38+00:00,JhonatanRizaldi,@FiersaBesari yaaa gitu dehh
2022-10-11 09:34:35+00:00,peepsxteen,"Salah satu lagu berbahasa indonesia yang membahas mengenai mental, dalam &amp; penuh makna. Serta menjadi lagu terfavorit bagi saya 😇

The great masterpiece @FiersaBesari &amp; @fbyputrinc 👏👍
-Runtuh-

#WorldMentalHealthDay https://t.co/xV0vc7xMdu"
2022-10-11 09:34:11+00:00,kepsubiu,"Kalo kata bung @FiersaBesari alasan chat lama gak dibales karna tenggelam tuh gini, ""emang chatnya gak dikasih pelampung?"". 🤣🤣🤣"
2022-10-11 09:23:47+00:00,FitriKamila08,@FiersaBesari wkwkwkk
2022-10-11 09:23:36+00:00,FitriKamila08,@FiersaBesari wkwk cpe
2022-10-11 09:23:23+00:00,FitriKamila08,@FiersaBesari emmmm
2022-10-11 09:17:37+00:00,TharisR,"Pertama pamungkas sengarang Rex.

Memang mang @FiersaBesari juga yg betul."
2022-10-11 09:11:01+00:00,whirly_lose,"khusus nya saya , benar kata om @FiersaBesari . prioritas saya bukanlah bahagia , melainkan bertahan hidup . buktinya , banyak hal yg bikin sakit tapi saya memilih untuk bertahan 😓"
2022-10-11 09:08:28+00:00,fajhri20,@FiersaBesari Haruka JKT48 😁
2022-10-11 08:53:08+00:00,AisaiahAmanda,@FiersaBesari byasalah
2022-10-11 08:52:54+00:00,AisaiahAmanda,@FiersaBesari wkwkkw
2022-10-11 08:52:29+00:00,AisaiahAmanda,@FiersaBesari agar tau diri kalau kamu terlalu baik
2022-10-11 08:46:03+00:00,alfatta_aqil,@FiersaBesari aseek
2022-10-11 08:21:23+00:00,Muteawdn,"@FiersaBesari kapan nih main"" ke kalimantan tengah"
2022-10-11 08:09:55+00:00,Yani_Rosati,@FiersaBesari True
2022-10-11 08:01:57+00:00,tryagustynaa,@FiersaBesari Kalau remedial lagi gmna 😂
2022-10-11 07:59:52+00:00,Syifaan20,@Hadi_kusm4n7O @FiersaBesari @_screenshoter
2022-10-11 07:54:40+00:00,Aeri__Moon,@Renayaeia @Uye_NF @caratstalk Pelukku untuk Pelikmu - Fiersa Besari
2022-10-11 07:51:20+00:00,DndHii,@FiersaBesari benarrr banhh🥵
2022-10-11 07:49:33+00:00,impathetc,@SUNDA_FESS tasik fiersa besari di lanud
2022-10-11 07:34:33+00:00,adindaaaqoriii,@FiersaBesari Ko ngakak🤣
2022-10-11 07:16:19+00:00,istriherodes,"I keep telling myself ""jangan nangis. Chill. Santuy hirup"" setiap lembaran buku konspirasi alam semesta. Dalam 2 jam udah sampai di halaman 167. Sakjiw euy, nyiksa kelenjar lakrimalis gini visi misi lu ya bang? @FiersaBesari"
2022-10-11 07:15:15+00:00,anonameGZ,@kekosonganid @FiersaBesari Boleh boleh
2022-10-11 07:00:01+00:00,BungaIdaman12,"Terimah kasih Pemerintah presiden @jokowi melalui @erickthohir sudah menyalamatkan sepakbola nasional dari ancaman sanksi FIFA.
ET Sepakbola Indonesia

#ErickFIFA
@FiersaBesari @Metro_TV https://t.co/iU4VCVJsz0"
