datetime,username,content
2022-09-07 23:56:38+00:00,SahalaSmjtk16,"Makanya tunjuk karyawan tuh yang benar @jokowi 

Dah tua masih aja dikadalin ente https://t.co/yaceIAYkk8"
2022-09-07 23:56:12+00:00,antikaumkontol1,@PeterGontha Mandalika..asian games..dll jokowi harus diperiksa..kpk jgn kek kontol penguasa dong..periksa semua yang sama dengan formula E
2022-09-07 23:56:12+00:00,johanadhi,"BBM Tak Terbeli,Transportasi Umum Harus Jadi Solusi...dan BUKAN MOBIL LISTRIK @BisKota_ @drhaltekehalte @krlmania @Darmaningtyas @ridwankamil @BudiKaryaS @jokowi https://t.co/yacOUlzWKo"
2022-09-07 23:56:01+00:00,shdwmax,@detektive88 @sandiuno @AzwarAnas_A3 @jokowi Kok iso
2022-09-07 23:56:00+00:00,helmi_assalam,"@andasuhandaa08 Hidup jokowi.
Hidup puan.
Jokowi 3 periode.

Jokowi puan capres cawapres 2024.
Jaya jaya jaya 🔥🔥🔥"
2022-09-07 23:55:49+00:00,samadengan24,@detikcom @jokowi Gimana menurut bapak?
2022-09-07 23:55:45+00:00,budiarth4,Kelakuan kacung manusia Gurun @mohmahfudmd @MajelisUlamaID @MUIPusat @Kemenag_RI @DPR_RI @Itjen_Kemdikbud @kemkominfo @PolhukamRI @Kemendagri_RI @jokowi @nadiemmakarim @Kemdikbud_RI @na_dirs @DivHumas_Polri @KomnasHAM @aagym @BNPTRI @KPAI_official @ListyoSigitP? https://t.co/EL1ChSJNuY
2022-09-07 23:55:44+00:00,MiftahA88979763,"Hai, Aku membagikan wisata dari aplikasi Desa Wisata Nusantara
#DesaWisataNusantara
#TPPJawaTimur
#TPPTrenggalek
@jokowi
@halimiskandarnu
@ditjenpdp 
@taufikmadjid71 
@imansyukri 
@kemendespdtt 
@Ari_Asharie 
@Mift4hulMunir 
@shofamubarok1 https://t.co/VraNDapASb"
2022-09-07 23:55:29+00:00,EkoWitono9,"Ternyata benar dugaan publik selama ini bhw rezim pemerintahan acakadut &amp; zhalim @jokowi lebih pro Koruptor dr pd rakyatnya sendiri. Penegakan rasa keadilan di negara hukum ini sdh lama mati. Gerombolan Pendusta Bayaran mcm @Dennysiregar7 cs dikerahkan.

https://t.co/V4B2ZYhoVk"
2022-09-07 23:55:16+00:00,Opikhid93757691,@erickthohir @KemenBUMN @jokowi @KemenkopUKM @kemendagri @Kemenparekraf Sudah 9 bulan ini saya tidak kunjung di pekerjakan juga walaupun saya sudah mengikuti beberapa rangkaian test rekruitment dan saya dinyatakan lolos tes
2022-09-07 23:55:09+00:00,ferryheilmann,"@ZulkifliLubis69 @niasda @jokowi #SelamatkanIndonesia dari Dusta Penguasa, dan Penguasa Dusta.

https://t.co/Y7puWUa9TO https://t.co/dO40cfdYyT"
